,max_LOW_continuum [blcoal] [!otf] [spbf],max_LOW_spectral [blcoal] [!otf] [spbf],max_MID_continuum [blcoal] [!otf] [spbf],max_MID_spectral [blcoal] [!otf] [spbf],max_Band5_MID_continuum [blcoal] [!otf] [spbf],max_Band5_MID_spectral [blcoal] [!otf] [spbf],01ICAL [blcoal] [!otf] [spbf],01DPrepA [blcoal] [!otf] [spbf],01DPrepB [blcoal] [!otf] [spbf],01DPrepC [blcoal] [!otf] [spbf],02AICAL [blcoal] [!otf] [spbf],02ADPrepA [blcoal] [!otf] [spbf],02ADPrepB [blcoal] [!otf] [spbf],02ADPrepC [blcoal] [!otf] [spbf],02BICAL [blcoal] [!otf] [spbf],02BDPrepA [blcoal] [!otf] [spbf],02BDPrepB [blcoal] [!otf] [spbf],02BDPrepC [blcoal] [!otf] [spbf],13ICAL [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepA [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepB [blcoal] [!otf] [Bmax=40000] [spbf],13DPrepC [blcoal] [!otf] [Bmax=40000] [spbf],14ICAL [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepA [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepB [blcoal] [!otf] [Bmax=25000] [spbf],14DPrepC [blcoal] [!otf] [Bmax=25000] [spbf],15ICAL [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepA [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepB [blcoal] [!otf] [Bmax=15000] [spbf],15DPrepC [blcoal] [!otf] [Bmax=15000] [spbf],22ICAL [blcoal] [!otf] [spbf],22DPrepA [blcoal] [!otf] [spbf],22DPrepB [blcoal] [!otf] [spbf],27ICAL [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepA [blcoal] [!otf] [Bmax=50000] [spbf],27DPrepB [blcoal] [!otf] [Bmax=50000] [spbf],32ICAL [blcoal] [!otf] [Bmax=20000] [spbf],32DPrepB [blcoal] [!otf] [Bmax=20000] [spbf],37aICAL [blcoal] [!otf] [spbf],37aDPrepA [blcoal] [!otf] [spbf],37aDPrepB [blcoal] [!otf] [spbf],37bICAL [blcoal] [!otf] [spbf],37bDPrepA [blcoal] [!otf] [spbf],37bDPrepB [blcoal] [!otf] [spbf],37cICAL [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepA [blcoal] [!otf] [Bmax=95000] [spbf],37cDPrepB [blcoal] [!otf] [Bmax=95000] [spbf],38aICAL [blcoal] [!otf] [spbf],38aDPrepA [blcoal] [!otf] [spbf],38aDPrepB [blcoal] [!otf] [spbf],38bICAL [blcoal] [!otf] [spbf],38bDPrepA [blcoal] [!otf] [spbf],38bDPrepB [blcoal] [!otf] [spbf]
Visibilities kernel bw1 [1],3.768709208230856,150.43576529443874,3.5943165009085014,486.5050060451353,5.935234821749268,1502.115484891092,4.077031319447302,3.7891600748145366,6.163369856174798,8.580491455738757,3.411586895271359,3.7891600748145366,6.163369856174798,8.580491455738757,3.411586895271359,3.7891600748145366,6.163369856174798,8.580491455738757,14.444716455954563,34.2744570871336,31.985178783200972,162.3924535913061,10.425793691352938,39.64897909403583,5.027791921910119,444.1973003386798,14.24166368400991,36.12421125466588,34.281537482167295,274.52250153755693,14.784916743251102,35.45171094252842,34.778973393047764,34.76047475227949,35.06108827944759,33.78897593366414,33.195176303028745,35.947385779794274,4.5569537841144605,6.130611221611516,5.775105365297957,8.234980889847051,6.130611221611516,5.775105365297957,11.097979871442112,37.85488639578847,6.0891104950896775,19.412038811935208,37.52361522236073,36.82254404818927,15.494818205472589,37.52361522236073,36.82254404818927
Visibilities kernel bw2 [1],7.37232335703566,272.7696264054707,4.7535388513804495,587.6175728397201,10.552277066868296,1963.2881899800968,8.004723979763927,7.487309542189724,18.578584058850936,32.64483894261877,6.744452516543306,7.487309542189724,18.578584058850936,32.64483894261877,6.744452516543306,7.487309542189724,18.578584058850936,32.64483894261877,25.951412464659228,62.06753143567669,56.301650394629334,211.1978262434734,13.471732724617363,68.93273016517443,6.397299385839777,580.1152170759754,19.293241420604012,58.56492649424425,54.3492755749876,343.1531269219461,26.742638283828516,64.98833471869608,63.13163911775407,62.95724900145285,63.7704235727622,60.3966681023697,57.365037125362534,63.928859615314295,6.301047156799592,10.959785900118138,6.060393252643515,14.543852370984236,10.959785900118138,6.060393252643515,19.61237045422062,66.61967030334408,10.846937483210935,34.66484535982423,66.41019215513798,64.54195544242737,27.441442862225028,66.41019215513798,64.54195544242737
Visibilities kernel bw3 [1],25.788111527105944,444.4376805557084,8.61784783103377,749.6815165071641,23.71148796174532,2822.4947020499226,28.25167499542608,26.86150243438664,76.6742102577276,115.85191092395316,20.767764236311727,26.86150243438664,76.6742102577276,115.85191092395316,20.767764236311727,26.86150243438664,76.6742102577276,115.85191092395316,54.11407175431356,124.52124181144455,107.25197517037792,261.7632449062643,24.32934006111591,147.59118402284136,8.709256342768876,692.0373546528374,31.26123168174342,165.37254574608545,147.1402783559315,686.3062538438923,59.44661463323382,144.71632454253142,137.50603073649575,130.66941688264234,133.5607897179136,122.04100499250531,123.76932416158952,144.62953994397157,13.870771424828934,24.198437257940242,13.622165027154365,32.22647586802361,24.198437257940242,13.622165027154365,43.518643792651716,146.43086289532388,23.753801211126056,78.60304893423114,147.86007593960682,140.60451352801581,61.19426250005857,147.86007593960682,140.60451352801581
Visibilities kernel bw4 [1],90.25759571651363,635.035044201776,23.437246154885234,959.8064877479788,64.16279233566314,4153.875138888142,99.88993628062082,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,89.7135580417565,95.81092401827544,336.47566016065014,336.7884281076634,149.7322455391894,316.9327291398315,252.67288537995003,411.8747883115883,58.761258217481874,441.89066090679876,14.477290992708827,994.4465118179978,,,,,162.8229573190641,411.55961798060395,372.4773093617586,356.55419831274037,371.03545532222626,317.4196237517269,216.82330726621151,262.4090615417147,36.02899174123992,65.71087943166206,35.950296204995375,86.29287105033163,65.71087943166206,35.950296204995375,121.58175632816398,404.3484814670309,63.29127796962095,221.02014821509337,420.3490402023072,381.01859468471565,168.87095103371317,420.3490402023072,381.01859468471565
Visibilities kernel bw5 [1],,,44.2326976844872,1019.7626836632329,121.99736793456832,4747.749147198898,,,,,,,,,,,,,284.50439091312444,520.1309917949171,394.6050335288448,632.7388282341622,,,,,,,,,318.3141863553229,746.0016968115217,643.0442287082677,755.5309456260361,798.5693955382338,648.1194982568865,,,66.71253229560718,125.4275012335566,67.57871082762362,160.44786587146862,125.4275012335566,67.57871082762362,223.3957114439034,710.8366223568217,118.37581873649545,413.9435825862279,761.6315000804661,658.0223746673568,332.8751594502878,761.6315000804661,658.0223746673568
Visibilities kernel bw6 [1],,,100.1993071832516,1108.9561500136263,298.66307679592666,5539.40278682903,,,,,,,,,,,,,309.77775879044253,839.7705389832768,625.7985853000283,997.9967397989078,,,,,,,,,696.5077527762563,2195.899055179336,1735.9659790335018,1412.3392534024035,1520.1557260653378,1165.4713866466393,,,144.00887721628868,309.509491389941,161.79206440955684,374.60623364952426,309.509491389941,161.79206440955684,507.66462038878825,1976.4788243607782,280.7570303349263,978.6312527601799,2240.10219603215,1777.377168510646,740.6700638131396,2240.10219603215,1777.377168510646
Visibilities kernel bw7 [1],,,168.1868405376661,1766.0361178022179,487.79165038058034,9111.79635005981,,,,,,,,,,,,,,,,,,,,,,,,,1318.8872517538769,4191.791207381168,3094.385882451235,,,,,,229.7569272393956,509.25563380680023,268.71712980729905,622.2803860900141,509.25563380680023,268.71712980729905,890.3980631044782,3598.1461889780276,446.16101481716413,2083.3393107864486,4272.999581531205,3169.3849190519954,1424.321998426517,4272.999581531205,3169.3849190519954
Visibilities kernel bw8 [1],,,229.33028479969062,1541.8021673723804,777.1215328203859,8069.7617388169865,,,,,,,,,,,,,,,,,,,,,,,,,1992.9284678892052,4775.825393366629,3384.018006442411,,,,,,324.2631753087781,815.3440106545079,388.248952878512,839.2333404752485,815.3440106545079,388.248952878512,1255.2166217369784,3981.155037194109,698.5773793385097,2379.460099487217,4865.946180567903,3466.731637624834,2174.4557334478236,4865.946180567903,3466.731637624834
Visibilities kernel bw9 [1],,,329.02882286926564,1326.1317556175777,1108.0302502398265,7029.30689193838,,,,,,,,,,,,,,,,,,,,,,,,,2262.6001090812574,10910.245173558882,7400.2746127874825,,,,,,415.18145547702267,1169.2568445723655,509.42669893731426,1179.9572185512577,1169.2568445723655,509.42669893731426,1298.4290403501388,4095.239071858061,720.8359253288412,4088.57754803081,11109.77269238494,7582.647674437395,2498.223613793692,11109.77269238494,7582.647674437395
Visibilities kernel bw10 [1],,,417.1418085951901,1168.825379135041,1225.5664582851844,6248.529767505168,,,,,,,,,,,,,,,,,,,,,,,,,3739.302969626891,12081.66715126637,7919.9568366397725,,,,,,534.6459538084636,1299.6288691783104,668.4012777473238,1720.355497190684,1299.6288691783104,668.4012777473238,,,,4538.588380722055,12296.699057857171,8116.294363812373,4170.2850753103,12296.699057857171,8116.294363812373
Visibilities kernel bw11 [1],,,534.5936191455273,1048.4613254532062,1770.3744781542296,5639.615516675209,,,,,,,,,,,,,,,,,,,,,,,,,4038.05860569483,13102.120641308587,8359.948984526143,,,,,,706.8649667546975,1885.1296030980586,896.6618361281055,1846.4211954146656,1885.1296030980586,896.6618361281055,,,,9864.092827194421,13329.927376198002,8568.106837731375,4541.554388814916,13329.927376198002,8568.106837731375
Oversampling used pred0 [1],1.8875423776839284,53.150780381621786,2.386806665596204,63.785442758398936,4.629448893870169,63.99999306179715,2.0366413702794404,1.8907049649003653,3.091673735150401,3.5902189351256766,1.704678135078467,1.8907049649003653,3.091673735150401,3.5902189351256766,1.704678135078467,1.8907049649003653,3.091673735150401,3.5902189351256766,6.2590674031920415,13.981489078034784,16.281273089977034,53.75204808312029,8.96555044064823,14.71424659823252,3.1744585148162088,63.777559849191896,10.497565749366387,13.803781023016384,13.435775995160178,59.707651089820196,6.363345607505423,14.255225067184448,17.209361637253032,14.027453055603885,14.087146426292925,13.829382122200037,14.807517041021903,15.45054985783188,4.021258090190763,3.9255573894890574,5.59353902993697,4.507992828982246,3.9255573894890574,5.59353902993697,5.230698548891631,15.010781430906292,5.588255192551578,8.093295559789944,14.53023322789511,14.39803374818387,6.598446777303849,14.53023322789511,14.39803374818387
Oversampling used pred1 [1],3.687938691015191,58.01194320851913,3.5220700633917588,63.96988619030616,5.71102970476403,63.99999999659141,3.980078100463338,3.707360120997592,5.920071773975465,8.089374592046148,3.3477826127487162,3.707360120997592,5.920071773975465,8.089374592046148,3.3477826127487162,3.707360120997592,5.920071773975465,8.089374592046148,13.021573557033292,26.69539795497669,25.325940806935265,59.039687438058664,9.690782569673154,29.722923498781263,4.872057003543738,63.94136916736903,12.858296499217452,27.766427385665573,26.699557357375078,63.151593391234094,13.293965015264803,27.3806465182292,26.990619949966124,26.97983668837405,27.15468220223172,26.409091393897477,26.055916191325856,27.665386749154635,4.431998132557247,5.890100918280261,5.563852491684521,7.78432319662322,5.890100918280261,5.563852491684521,10.262658369736755,28.740647281599088,5.85210971932986,16.857479396318574,28.55621940059521,28.162726348782144,13.857690379408808,28.55621940059521,28.162726348782144
Oversampling used pred2 [1],7.015397290010128,63.127846957779944,4.616129050141865,63.99387347892417,9.79885372084182,63.99999999999761,7.58010566772996,7.118494112592209,16.234629537219583,25.725629045215435,6.449142360110216,7.118494112592209,16.234629537219583,25.725629045215435,6.449142360110216,7.118494112592209,16.234629537219583,25.725629045215435,21.470796716670698,39.91904107343639,37.630063428093976,61.7001030334433,12.23442114940623,42.386765358741286,6.133644918959661,63.993105135623765,16.769199610614173,38.55341078099773,36.80668174744075,63.712120950519974,21.997444175503013,41.00162435177977,40.31922601759254,40.25410075147194,40.55625576532578,39.27697997564815,38.067992897064556,40.61467750941743,6.045863747893712,10.145580935733307,5.825806424324568,13.101100396578595,10.145580935733307,5.825806424324568,17.005974695190105,41.584947174160575,10.049786996410454,26.924042104437106,41.5108792292143,40.83938215415743,22.45714913673963,41.5108792292143,40.83938215415743
Oversampling used pred3 [1],21.361282692578293,63.94159070028459,8.122257225294625,63.99952270177415,19.943799336261584,64.0,22.98386111538673,22.075995848916698,44.86746574764998,53.67667565445413,17.85332462836159,22.075995848916698,44.86746574764998,53.67667565445413,17.85332462836159,22.075995848916698,44.86746574764998,53.67667565445413,36.70576891280617,54.99411621881903,52.17943639879121,62.962782070022726,20.37039423268373,57.7375941521805,8.202637259978566,63.99881684208145,24.88249568229618,59.26710436483003,57.692966397869526,63.9987050883261,38.90429852318215,57.44755183576158,56.659631644432615,55.82521463434231,56.189100813526586,54.635389237916804,54.88683943441821,57.43859038515502,12.558706596511342,20.280358850443506,12.356911843168447,25.472624615551744,20.280358850443506,12.356911843168447,31.74942262624485,57.6221083310453,19.97314703000999,45.439898242642144,57.76405690367036,57.00921388316374,39.58557873623481,57.76405690367036,57.00921388316374
Oversampling used pred4 [1],48.552081846317876,63.99709660773776,19.753115395276993,63.999982555603985,40.70067184550118,64.0,50.72635209396711,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,57.94523096985236,63.56494667535732,62.80314140325141,63.90245759857931,38.63196763503544,63.9392002003647,13.047718550269401,63.99998989030376,,,,,59.073203257570654,63.90197225168024,63.818594885481915,63.7668934677979,63.814428627753934,63.56826981610155,61.8950909879541,62.97327768422398,27.712052540950708,41.26183711182924,27.667052086731914,47.55679788927219,41.26183711182924,27.667052086731914,54.567415003037866,63.89018313259023,40.37868588470103,62.02971364093556,63.914643924845564,63.84142597456277,59.52080624454216,63.914643924845564,63.84142597456277
Oversampling used pred5 [1],,,32.110054546566815,63.9999932143718,54.628951553576,64.0,,,,,,,,,,,,,63.27500724968518,63.9822669552622,63.87197091906685,63.99698969492421,,,,,,,,,63.574309341985604,63.999494224638504,63.99744066284192,63.999564705588966,63.99977898341663,63.99763726192976,,,41.61770352328678,55.121736196075936,41.92094499515029,58.88543262151807,55.121736196075936,41.92094499515029,62.10206268192967,63.999120032683514,54.0789532637074,63.90558432962563,63.999604579838376,63.997978444806314,63.6615414863396,63.999604579838376,63.997978444806314
Oversampling used pred6 [1],,,50.79086512966408,63.99999833444845,63.419908635719224,64.0,,,,,,,,,,,,,63.5130567258469,63.99988448649817,63.99664202252463,63.999990440028654,,,,,,,,,63.99889727362005,63.999999999999936,63.99999999991426,63.99999998598503,63.999999997434394,63.999999316046804,,,57.37414196384926,63.510995150352215,58.99256454692013,63.82457604005655,63.510995150352215,58.99256454692013,63.97842026455765,63.99999999999806,63.230934280138264,63.99998703103322,63.99999999999997,63.999999999955335,63.999449923653295,63.99999999999997,63.999999999955335
Oversampling used pred7 [1],,,59.47228824181946,63.9999999999466,63.9704902320328,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.2829821510474,63.97895424550441,63.0703714677351,63.996450720206184,63.97895424550441,63.0703714677351,63.99994795612568,64.0,63.943154592411204,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used pred8 [1],,,62.271406806534536,63.99999999817551,63.999690175398776,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.61237974894454,63.99983029441042,63.85849214047249,63.99988350510923,63.99983029441042,63.85849214047249,63.999999833574215,64.0,63.99893263561029,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used pred9 [1],,,63.64040621944667,63.999999945524415,63.99999830998445,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.90740708795444,63.99999935562894,63.979010866353946,63.99999945555799,63.99999935562894,63.979010866353946,63.999999915730086,64.0,63.99924824372142,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred10 [1],,,63.91022197326229,63.99999935123561,63.99999973453292,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.9858905747686,63.99999991730745,63.99828327837095,63.99999999989037,63.99999991730745,63.99828327837095,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used pred11 [1],,,63.98587894119917,63.99999568174916,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323559368,63.999999999991815,63.99995284486239,63.999999999984944,63.999999999991815,63.99995284486239,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw0 [1],1.8875423776839284,53.150780381621786,2.386806665596204,63.785442758398936,4.629448893870169,63.99999306179715,2.0366413702794404,1.8907049649003653,3.091673735150401,3.5902189351256766,1.704678135078467,1.8907049649003653,3.091673735150401,3.5902189351256766,1.704678135078467,1.8907049649003653,3.091673735150401,3.5902189351256766,6.2590674031920415,13.981489078034784,16.281273089977034,53.75204808312029,8.96555044064823,14.71424659823252,3.1744585148162088,63.777559849191896,10.497565749366387,13.803781023016384,13.435775995160178,59.707651089820196,6.363345607505423,14.255225067184448,17.209361637253032,14.027453055603885,14.087146426292925,13.829382122200037,14.807517041021903,15.45054985783188,4.021258090190763,3.9255573894890574,5.59353902993697,4.507992828982246,3.9255573894890574,5.59353902993697,5.230698548891631,15.010781430906292,5.588255192551578,8.093295559789944,14.53023322789511,14.39803374818387,6.598446777303849,14.53023322789511,14.39803374818387
Oversampling used bw1 [1],3.687938691015191,58.01194320851913,3.5220700633917588,63.96988619030616,5.71102970476403,63.99999999659141,3.980078100463338,3.707360120997592,5.920071773975465,8.089374592046148,3.3477826127487162,3.707360120997592,5.920071773975465,8.089374592046148,3.3477826127487162,3.707360120997592,5.920071773975465,8.089374592046148,13.021573557033292,26.69539795497669,25.325940806935265,59.039687438058664,9.690782569673154,29.722923498781263,4.872057003543738,63.94136916736903,12.858296499217452,27.766427385665573,26.699557357375078,63.151593391234094,13.293965015264803,27.3806465182292,26.990619949966124,26.97983668837405,27.15468220223172,26.409091393897477,26.055916191325856,27.665386749154635,4.431998132557247,5.890100918280261,5.563852491684521,7.78432319662322,5.890100918280261,5.563852491684521,10.262658369736755,28.740647281599088,5.85210971932986,16.857479396318574,28.55621940059521,28.162726348782144,13.857690379408808,28.55621940059521,28.162726348782144
Oversampling used bw2 [1],7.015397290010128,63.127846957779944,4.616129050141865,63.99387347892417,9.79885372084182,63.99999999999761,7.58010566772996,7.118494112592209,16.234629537219583,25.725629045215435,6.449142360110216,7.118494112592209,16.234629537219583,25.725629045215435,6.449142360110216,7.118494112592209,16.234629537219583,25.725629045215435,21.470796716670698,39.91904107343639,37.630063428093976,61.7001030334433,12.23442114940623,42.386765358741286,6.133644918959661,63.993105135623765,16.769199610614173,38.55341078099773,36.80668174744075,63.712120950519974,21.997444175503013,41.00162435177977,40.31922601759254,40.25410075147194,40.55625576532578,39.27697997564815,38.067992897064556,40.61467750941743,6.045863747893712,10.145580935733307,5.825806424324568,13.101100396578595,10.145580935733307,5.825806424324568,17.005974695190105,41.584947174160575,10.049786996410454,26.924042104437106,41.5108792292143,40.83938215415743,22.45714913673963,41.5108792292143,40.83938215415743
Oversampling used bw3 [1],21.361282692578293,63.94159070028459,8.122257225294625,63.99952270177415,19.943799336261584,64.0,22.98386111538673,22.075995848916698,44.86746574764998,53.67667565445413,17.85332462836159,22.075995848916698,44.86746574764998,53.67667565445413,17.85332462836159,22.075995848916698,44.86746574764998,53.67667565445413,36.70576891280617,54.99411621881903,52.17943639879121,62.962782070022726,20.37039423268373,57.7375941521805,8.202637259978566,63.99881684208145,24.88249568229618,59.26710436483003,57.692966397869526,63.9987050883261,38.90429852318215,57.44755183576158,56.659631644432615,55.82521463434231,56.189100813526586,54.635389237916804,54.88683943441821,57.43859038515502,12.558706596511342,20.280358850443506,12.356911843168447,25.472624615551744,20.280358850443506,12.356911843168447,31.74942262624485,57.6221083310453,19.97314703000999,45.439898242642144,57.76405690367036,57.00921388316374,39.58557873623481,57.76405690367036,57.00921388316374
Oversampling used bw4 [1],48.552081846317876,63.99709660773776,19.753115395276993,63.999982555603985,40.70067184550118,64.0,50.72635209396711,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,48.419160121982436,49.845700203512656,63.680198799263316,63.68177013302729,57.94523096985236,63.56494667535732,62.80314140325141,63.90245759857931,38.63196763503544,63.9392002003647,13.047718550269401,63.99998989030376,,,,,59.073203257570654,63.90197225168024,63.818594885481915,63.7668934677979,63.814428627753934,63.56826981610155,61.8950909879541,62.97327768422398,27.712052540950708,41.26183711182924,27.667052086731914,47.55679788927219,41.26183711182924,27.667052086731914,54.567415003037866,63.89018313259023,40.37868588470103,62.02971364093556,63.914643924845564,63.84142597456277,59.52080624454216,63.914643924845564,63.84142597456277
Oversampling used bw5 [1],,,32.110054546566815,63.9999932143718,54.628951553576,64.0,,,,,,,,,,,,,63.27500724968518,63.9822669552622,63.87197091906685,63.99698969492421,,,,,,,,,63.574309341985604,63.999494224638504,63.99744066284192,63.999564705588966,63.99977898341663,63.99763726192976,,,41.61770352328678,55.121736196075936,41.92094499515029,58.88543262151807,55.121736196075936,41.92094499515029,62.10206268192967,63.999120032683514,54.0789532637074,63.90558432962563,63.999604579838376,63.997978444806314,63.6615414863396,63.999604579838376,63.997978444806314
Oversampling used bw6 [1],,,50.79086512966408,63.99999833444845,63.419908635719224,64.0,,,,,,,,,,,,,63.5130567258469,63.99988448649817,63.99664202252463,63.999990440028654,,,,,,,,,63.99889727362005,63.999999999999936,63.99999999991426,63.99999998598503,63.999999997434394,63.999999316046804,,,57.37414196384926,63.510995150352215,58.99256454692013,63.82457604005655,63.510995150352215,58.99256454692013,63.97842026455765,63.99999999999806,63.230934280138264,63.99998703103322,63.99999999999997,63.999999999955335,63.999449923653295,63.99999999999997,63.999999999955335
Oversampling used bw7 [1],,,59.47228824181946,63.9999999999466,63.9704902320328,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999993894094,64.0,64.0,,,,,,62.2829821510474,63.97895424550441,63.0703714677351,63.996450720206184,63.97895424550441,63.0703714677351,63.99994795612568,64.0,63.943154592411204,63.99999999999964,64.0,64.0,63.99999998839521,64.0,64.0
Oversampling used bw8 [1],,,62.271406806534536,63.99999999817551,63.999690175398776,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.9999999999985,64.0,64.0,,,,,,63.61237974894454,63.99983029441042,63.85849214047249,63.99988350510923,63.99983029441042,63.85849214047249,63.999999833574215,64.0,63.99893263561029,64.0,64.0,64.0,63.999999999999915,64.0,64.0
Oversampling used bw9 [1],,,63.64040621944667,63.999999945524415,63.99999830998445,64.0,,,,,,,,,,,,,,,,,,,,,,,,,63.99999999999998,64.0,64.0,,,,,,63.90740708795444,63.99999935562894,63.979010866353946,63.99999945555799,63.99999935562894,63.979010866353946,63.999999915730086,64.0,63.99924824372142,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw10 [1],,,63.91022197326229,63.99999935123561,63.99999973453292,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.9858905747686,63.99999991730745,63.99828327837095,63.99999999989037,63.99999991730745,63.99828327837095,,,,64.0,64.0,64.0,64.0,64.0,64.0
Oversampling used bw11 [1],,,63.98587894119917,63.99999568174916,63.99999999995013,64.0,,,,,,,,,,,,,,,,,,,,,,,,,64.0,64.0,64.0,,,,,,63.99906323559368,63.999999999991815,63.99995284486239,63.999999999984944,63.999999999991815,63.99995284486239,,,,64.0,64.0,64.0,64.0,64.0,64.0
-- Channelization --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Channels predict, no-smear0",559.1337152950158,1809.0904657256951,603.2228470378325,4576.81127226378,414.1383024984219,1885.9751150023908,429.9899422466631,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,358.44033998018244,398.1901223156782,663.1885345814411,1288.353070402745,261.21149632239513,403.0540788670101,403.0540788670101,734.4434476774929,214.84984127568796,497.1909356825173,497.1909356825173,279.28085374879674,214.97748223738932,398.02881001253394,398.02881001253394,25.664246596024633,257.9547512531722,398.02881001253394,398.02881001253394,894.2545468709208,894.2545468709208,894.2545468709208,2511.6897145573553,2511.6897145573553,372.78105657217833,483.15612439994436,362.43339351431086,559.0389802377872,483.15612439994436,362.43339351431086,652.167937578682,1207.4924417886202,483.15612439994436,726.1926570419781,1008.5130422414231,1008.5130422414231,653.5959856457442,1008.5130422414231,1008.5130422414231
"Channels predict, no-smear1",1117.2953217949262,3617.208237988821,904.5597563976627,6864.942273636082,621.0918337495959,2828.8470245059593,859.2872958419088,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,716.1882027630096,795.6877005716108,1325.6842841487744,2576.0131800688873,391.7711462657152,604.5350169007022,604.5350169007022,1101.6190674725092,322.2189921177397,745.7306245903046,745.7306245903046,418.90275499589205,322.42065370364355,596.9976404288616,596.9976404288616,38.494609457539404,386.88655543856316,596.9976404288616,596.9976404288616,1341.280466795748,1341.280466795748,1341.280466795748,3767.259952131288,3767.259952131288,559.0389802377872,724.6015700009231,543.5174871479519,838.4258482659727,724.6015700009231,543.5174871479519,978.1192792840136,1811.1060218133737,724.6015700009231,1089.1760088165274,1512.656581147074,1512.656581147074,980.28100389151,1512.656581147074,1512.656581147074
"Channels predict, no-smear2",2233.6181120846836,7233.443651746777,1205.8966379974954,9153.073271346264,828.0453578278335,3771.7189324319356,1717.881724030251,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,1431.683593715042,1590.6825558293533,2650.675602311196,5151.333306208186,522.3307944011752,806.0159537629055,806.0159537629055,1468.7946866230889,429.5881397427964,994.2703121075014,994.2703121075014,558.5246559695574,429.86382302328974,795.9664696855765,795.9664696855765,51.32497229224026,515.818357835032,795.9664696855765,795.9664696855765,1788.3063841681017,1788.3063841681017,1788.3063841681017,5022.83018303477,5022.83018303477,745.2968934217347,966.0470075132783,724.6015700009231,1117.8127093029952,966.0470075132783,724.6015700009231,1304.070614995905,2414.7195985996987,966.0470075132783,1452.1593566854401,2016.800117240791,2016.800117240791,1306.96601779828,2016.800117240791,2016.800117240791
"Channels predict, no-smear3",4466.26348098825,14465.914413852615,1808.570373420898,13729.335263104213,1241.9523988093595,5657.462746707873,3435.07044070933,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,2862.67420802834,3180.6721154882,5300.658148066288,10301.97351186012,783.4500888644667,1208.9778263156445,1208.9778263156445,2203.1459242849523,644.3264317751682,1491.3496857510963,1491.3496857510963,837.7684576434344,644.7501595153672,1193.9041270392163,1193.9041270392163,76.98569793480485,773.6819608386259,1193.9041270392163,1193.9041270392163,2682.3582163564483,2682.3582163564483,2682.3582163564483,7533.970638170312,7533.970638170312,1117.8127093029952,1448.937874446404,1086.7697249209346,1676.58642438262,1448.937874446404,1086.7697249209346,1955.9732804231985,3621.9467489340564,1448.937874446404,2178.126048514747,3025.0871866158723,3025.0871866158723,1960.336041270146,3025.0871866158723,3025.0871866158723
