,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso13 (Ingest) [] [Bmax=40000],hpso13 (RCAL) [] [Bmax=40000],hpso13 (FastImg) [] [Bmax=40000],hpso13 (ICAL) [] [Bmax=40000],hpso13 (DPrepA) [] [Bmax=40000],hpso13 (DPrepB) [] [Bmax=40000],hpso13 (DPrepC) [] [Bmax=40000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=50000],hpso27and33 (RCAL) [] [Bmax=50000],hpso27and33 (FastImg) [] [Bmax=50000],hpso27and33 (ICAL) [] [Bmax=50000],hpso27and33 (DPrepA) [] [Bmax=50000],hpso27and33 (DPrepB) [] [Bmax=50000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [],hpso37a (RCAL) [],hpso37a (FastImg) [],hpso37a (ICAL) [],hpso37a (DPrepA) [],hpso37a (DPrepB) [],hpso37b (Ingest) [],hpso37b (RCAL) [],hpso37b (FastImg) [],hpso37b (ICAL) [],hpso37b (DPrepA) [],hpso37b (DPrepB) [],hpso37c (Ingest) [] [Bmax=95000],hpso37c (RCAL) [] [Bmax=95000],hpso37c (FastImg) [] [Bmax=95000],hpso37c (ICAL) [] [Bmax=95000],hpso37c (DPrepA) [] [Bmax=95000],hpso37c (DPrepB) [] [Bmax=95000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Averaged rate4 [M/s],329.0661848664127,287.41577643140107,206.90411855042368,287.41577643140107,106.4546701582402,106.4546701582402,206.90411855042368,206.90411855042368,329.0661848664127,287.41577643140107,206.90411855042368,191.61283783848583,106.4546701582402,106.4546701582402,206.90411855042368,206.90411855042368,329.0661848664127,287.41577643140107,206.90411855042368,191.61283783848583,106.4546701582402,106.4546701582402,206.90411855042368,206.90411855042368,658.1323697328254,176.12244021224043,126.78655922931729,571.71560941938,571.71560941938,281.7585230437343,571.71560941938,337.246125337488,161.75167725200845,658.1323697328254,176.12244021224043,126.78655922931729,571.71560941938,571.71560941938,461.43933260845984,175.84411862273657,37.330714090886424,23.186547133804382,37.330714090886424,13.8264394174842,13.8264394174842,45.91816255759161,179.1062281299712,18.339922143621735,11.39121664976993,12.226716400789785,6.792755739257668,6.792755739257668,23.114152427514323,,,,,,,,571.71560941938,571.71560941938,571.71560941938,571.71560941938,303.00575856992083,571.71560941938,233.98464209091588,233.98464209091588,365.8456600918577,181.9593048317817,113.01677088784731,67.39326764555706,67.39326764555706,67.39326764555706,73.51159226026192,30.421418058127745,18.89529983654136,11.267579813438658,11.267579813438658,571.71560941938,571.71560941938,409.1448611507119,568.7018479263536,315.9464997417459,315.9464997417459,571.71560941938,571.71560941938,409.1448611507119,571.71560941938,315.9464997417459,315.9464997417459,571.71560941938,540.2668712585423,259.12592738094963,540.2668712585423,200.10029848765768,200.10029848765768,571.71560941938,571.71560941938,341.72153863050437,474.98498167062525,263.88142158553535,263.88142158553535,571.71560941938,571.71560941938,341.72153863050437,571.71560941938,263.88142158553535,263.88142158553535,658.1323697328254,403.585981213404,290.53242119425886,403.585981213404,149.48244108302953,149.48244108302953,149.48244108302953,658.1323697328254,290.53242119425886,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,571.71560941938,461.43933260845984,571.71560941938,356.32892700615923,356.32892700615923,356.32892700615923,571.71560941938,571.71560941938,571.71560941938,571.71560941938,326.6840460729279,571.71560941938,252.26929356475713,252.26929356475713,252.26929356475713,571.71560941938,459.72994857288865,571.71560941938,534.9971959440529,256.59805308894823,534.9971959440529,198.14806617660685,198.14806617660685,198.14806617660685,571.71560941938,361.10060126669333,571.71560941938,422.8447369330777,202.8068978806816,422.8447369330777,156.60988491183215,156.60988491183215,156.60988491183215,571.71560941938,285.4023924010152,571.71560941938,272.4930279535559,130.69447963877627,272.4930279535559,100.92383017354742,100.92383017354742,100.92383017354742,571.71560941938,183.921330397104
Averaged rate5 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,421.4119972948823,421.4119972948823,207.68441510859202,421.4119972948823,248.5843676767267,119.22728058062259,,,,421.4119972948823,421.4119972948823,340.12727233813547,129.61482950696868,27.516496884633398,17.090820990442616,27.516496884633398,10.19147869045605,10.19147869045605,33.84631148195797,,,,,,,,,,,,,,,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,223.3457680829814,421.4119972948823,172.47025222907718,172.47025222907718,269.6651058339081,134.1223377710879,83.30474516173214,49.675627278369106,49.675627278369106,49.675627278369106,,,,,,421.4119972948823,421.4119972948823,301.5809788638843,419.19055147597857,232.88439794343466,232.88439794343466,421.4119972948823,421.4119972948823,301.5809788638843,421.4119972948823,232.88439794343466,232.88439794343466,421.4119972948823,398.2311092057471,191.00191215593034,398.2311092057471,147.494077572281,147.494077572281,421.4119972948823,421.4119972948823,251.88319811524744,350.11178025062696,194.50719044090482,194.50719044090482,421.4119972948823,421.4119972948823,251.88319811524744,421.4119972948823,194.50719044090482,194.50719044090482,,,,,,,,,,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,340.12727233813547,421.4119972948823,262.6503148586548,262.6503148586548,262.6503148586548,421.4119972948823,421.4119972948823,421.4119972948823,421.4119972948823,240.79905126218023,421.4119972948823,185.94788231382793,185.94788231382793,185.94788231382793,421.4119972948823,338.86728410498995,421.4119972948823,394.3468276454975,189.13861415120286,394.3468276454975,146.0550856961994,146.0550856961994,146.0550856961994,421.4119972948823,266.16751947480026,421.4119972948823,311.6791674055646,149.4891139807668,311.6791674055646,115.43726165504214,115.43726165504214,115.43726165504214,421.4119972948823,210.37031389888895,421.4119972948823,200.85481184510337,96.33499731785538,200.85481184510337,74.39102964370177,74.39102964370177,74.39102964370177,421.4119972948823,135.5685482621147
Averaged rate6 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,516.4638148149648,516.4638148149648,254.52878891234346,516.4638148149648,304.6539530383874,146.1196561890819,,,,516.4638148149648,516.4638148149648,416.8448684944338,39.712543623264594,8.430748912350936,5.236437657034203,8.430748912350936,3.122555834234596,3.122555834234596,10.37013377502141,,,,,,,,,,,,,,,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,273.7226470707217,516.4638148149648,211.3718759316635,211.3718759316635,247.8671766148233,123.2807822187242,76.57094498008105,45.66018077119491,45.66018077119491,45.66018077119491,,,,,,516.4638148149648,516.4638148149648,369.6042443487512,513.7413095483837,285.4127678965662,285.4127678965662,516.4638148149648,516.4638148149648,369.6042443487512,516.4638148149648,285.4127678965662,285.4127678965662,516.4638148149648,488.0543486152256,234.08345472418412,488.0543486152256,180.76218630361163,180.76218630361163,516.4638148149648,516.4638148149648,308.6968530119113,429.0814376444269,238.37936800303459,238.37936800303459,516.4638148149648,516.4638148149648,308.6968530119113,516.4638148149648,238.37936800303459,238.37936800303459,,,,,,,,,,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,416.8448684944338,516.4638148149648,321.8925527631148,321.8925527631148,321.8925527631148,516.4638148149648,516.4638148149648,516.4638148149648,516.4638148149648,295.11261524827063,516.4638148149648,227.8894603690249,227.8894603690249,227.8894603690249,516.4638148149648,415.3006829143139,516.4638148149648,483.293945766471,231.79987950127637,483.293945766471,178.99862181427696,178.99862181427696,178.99862181427696,516.4638148149648,326.2030824233992,516.4638148149648,381.98013542550086,183.2072142592356,381.98013542550086,141.4747774360062,141.4747774360062,141.4747774360062,516.4638148149648,257.8205070986982,516.4638148149648,246.15873068482247,118.06389123789953,246.15873068482247,91.17033972555564,91.17033972555564,91.17033972555564,516.4638148149648,166.14678759462245
Averaged rate7 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,496.7979211921493,496.7979211921493,244.83684933572945,496.7979211921493,293.05334896824615,140.5557163110357,,,,496.7979211921493,496.7979211921493,400.9722621164535,,,,,,,,,,,,,,,,,,,,,,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,263.299844339853,496.7979211921493,203.32326399083215,203.32326399083215,,,,,,,,,,,,496.7979211921493,496.7979211921493,355.53046503759504,494.1790833993085,274.5448290961332,274.5448290961332,496.7979211921493,496.7979211921493,355.53046503759504,496.7979211921493,274.5448290961332,274.5448290961332,496.7979211921493,469.4702297927709,225.17003196848486,469.4702297927709,173.87912920473627,173.87912920473627,496.7979211921493,496.7979211921493,296.94230351805146,412.74288755401403,229.30236559057857,229.30236559057857,496.7979211921493,496.7979211921493,296.94230351805146,496.7979211921493,229.30236559057857,229.30236559057857,,,,,,,,,,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,400.9722621164535,496.7979211921493,309.63553781060756,309.63553781060756,309.63553781060756,496.7979211921493,496.7979211921493,496.7979211921493,496.7979211921493,283.8753259518217,496.7979211921493,219.2118923442762,219.2118923442762,219.2118923442762,496.7979211921493,399.48687598845663,496.7979211921493,464.8910934206598,222.97341065430254,464.8910934206598,172.18271767103832,172.18271767103832,172.18271767103832,496.7979211921493,313.78193125200215,496.7979211921493,367.4351073057711,176.2310554593295,367.4351073057711,136.08770511155925,136.08770511155925,136.08770511155925,496.7979211921493,248.0032255758874,496.7979211921493,236.78550593390864,113.5682579346989,236.78550593390864,87.69875826879648,87.69875826879648,87.69875826879648,496.7979211921493,159.8202552086527
Averaged rate8 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,167.16009263083734,167.16009263083734,82.38148484235172,167.16009263083734,98.6051327303405,47.293488068479675,,,,167.16009263083734,167.16009263083734,134.91715165985673,,,,,,,,,,,,,,,,,,,,,,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,88.59382153596337,167.16009263083734,68.41320020251483,68.41320020251483,,,,,,,,,,,,167.16009263083734,167.16009263083734,119.6271218811779,166.27891912071894,92.37747805566352,92.37747805566352,167.16009263083734,167.16009263083734,119.6271218811779,167.16009263083734,92.37747805566352,92.37747805566352,167.16009263083734,157.9650070017648,75.76409198979421,157.9650070017648,58.50598423335826,58.50598423335826,167.16009263083734,167.16009263083734,99.9136688071876,138.8776731405907,77.15451904591616,77.15451904591616,167.16009263083734,167.16009263083734,99.9136688071876,167.16009263083734,77.15451904591616,77.15451904591616,,,,,,,,,,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,134.91715165985673,167.16009263083734,104.18462512487304,104.18462512487304,104.18462512487304,167.16009263083734,167.16009263083734,167.16009263083734,167.16009263083734,95.51695721239167,167.16009263083734,73.75932681464974,73.75932681464974,73.75932681464974,167.16009263083734,134.4173563262678,167.16009263083734,156.4242419794505,75.02498377961398,156.4242419794505,57.935184121247296,57.935184121247296,57.935184121247296,167.16009263083734,105.57978295903663,167.16009263083734,123.63273667825676,59.29734867714514,123.63273667825676,45.790113891333654,45.790113891333654,45.790113891333654,167.16009263083734,83.44689136486447,167.16009263083734,79.67240887516284,38.21288235412023,79.67240887516284,29.50844182407801,29.50844182407801,29.50844182407801,167.16009263083734,53.775524263173224
Averaged rate9 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,126.8918349488751,126.8918349488751,62.53608509624926,126.8918349488751,74.85151527860585,35.90065898919606,,,,126.8918349488751,126.8918349488751,102.41610106069449,,,,,,,,,,,,,,,,,,,,,,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,67.25189249959588,126.8918349488751,51.932709367381584,51.932709367381584,,,,,,,,,,,,126.8918349488751,126.8918349488751,90.80938378443487,126.22293292897614,70.12407994005949,70.12407994005949,126.8918349488751,126.8918349488751,90.80938378443487,126.8918349488751,70.12407994005949,70.12407994005949,31.722958737218775,29.97795299209484,14.378199521957574,29.97795299209484,11.103026413212268,11.103026413212268,126.8918349488751,126.8918349488751,75.84482977894311,105.4225473370473,58.568276328701586,58.568276328701586,126.8918349488751,126.8918349488751,75.84482977894311,126.8918349488751,58.568276328701586,58.568276328701586,,,,,,,,,,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,102.41610106069449,126.8918349488751,79.0869282703244,79.0869282703244,79.0869282703244,126.8918349488751,126.8918349488751,126.8918349488751,126.8918349488751,72.50726999883008,126.8918349488751,55.99097354399324,55.99097354399324,55.99097354399324,126.8918349488751,102.03670460320363,126.8918349488751,118.74221162998829,56.95173835437662,118.74221162998829,43.9788092094525,43.9788092094525,43.9788092094525,126.8918349488751,80.14599766203195,126.8918349488751,93.85006056141063,45.012833283499404,93.85006056141063,34.75944217751297,34.75944217751297,34.75944217751297,126.8918349488751,63.34483906665237,126.8918349488751,60.47961566576343,29.007538128782368,60.47961566576343,22.399965629407856,22.399965629407856,22.399965629407856,126.8918349488751,40.82119626579453
Averaged rate10 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,9.832946630659498,9.832946630659498,4.8459696992288706,9.832946630659498,5.800301928450046,2.781969887885213,,,,9.832946630659498,9.832946630659498,7.936303043105816,,,,,,,,,,,,,,,,,,,,,,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,5.2114012696388885,9.832946630659498,4.024305896441295,4.024305896441295,,,,,,,,,,,,9.832946630659498,9.832946630659498,7.036889526226682,9.781112894742156,5.433969300329815,5.433969300329815,9.832946630659498,9.832946630659498,7.036889526226682,9.832946630659498,5.433969300329815,5.433969300329815,,,,,,,9.832946630659498,9.832946630659498,5.8772746388944315,8.169274895039653,4.538501122801724,4.538501122801724,9.832946630659498,9.832946630659498,5.8772746388944315,9.832946630659498,4.538501122801724,4.538501122801724,,,,,,,,,,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,7.936303043105816,9.832946630659498,6.128507363599991,6.128507363599991,6.128507363599991,9.832946630659498,9.832946630659498,9.832946630659498,9.832946630659498,5.61864454494308,9.832946630659498,4.338783932619252,4.338783932619252,4.338783932619252,9.832946630659498,7.906903317584691,9.832946630659498,9.201426003765903,4.413234342363282,9.201426003765903,3.407952008974683,3.407952008974683,3.407952008974683,9.832946630659498,6.210575471536337,9.832946630659498,7.272513926182239,3.4880793358355233,7.272513926182239,2.693536112711165,2.693536112711165,2.693536112711165,9.832946630659498,4.908640671175267,9.832946630659498,4.686612289308075,2.247816610281165,4.686612289308075,1.7357906964724457,1.7357906964724457,1.7357906964724457,9.832946630659498,3.1632661348380378
Averaged rate11 [M/s],,,,,,,,,,,,,,,,,,,,,,,,,,,,4.214119972948823,4.214119972948823,2.0768441510859206,4.214119972948823,2.485843676767267,1.192272805806226,,,,4.214119972948823,4.214119972948823,3.4012727233813553,,,,,,,,,,,,,,,,,,,,,,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,2.2334576808298143,4.214119972948823,1.724702522290772,1.724702522290772,,,,,,,,,,,,4.214119972948823,4.214119972948823,3.0158097886388435,4.191905514759786,2.328843979434347,2.328843979434347,4.214119972948823,4.214119972948823,3.0158097886388435,4.214119972948823,2.328843979434347,2.328843979434347,,,,,,,4.214119972948823,4.214119972948823,2.5188319811524744,3.5011178025062697,1.9450719044090483,1.9450719044090483,4.214119972948823,4.214119972948823,2.5188319811524744,4.214119972948823,1.9450719044090483,1.9450719044090483,,,,,,,,,,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,3.4012727233813553,4.214119972948823,2.626503148586548,2.626503148586548,2.626503148586548,4.214119972948823,4.214119972948823,4.214119972948823,4.214119972948823,2.407990512621802,4.214119972948823,1.8594788231382795,1.8594788231382795,1.8594788231382795,4.214119972948823,3.3886728410498996,4.214119972948823,3.9434682764549756,1.8913861415120288,3.9434682764549756,1.460550856961994,1.460550856961994,1.460550856961994,4.214119972948823,2.661675194748003,4.214119972948823,3.1167916740556465,1.494891139807668,3.1167916740556465,1.1543726165504213,1.1543726165504213,1.1543726165504213,4.214119972948823,2.1037031389888896,4.214119972948823,2.008548118451034,0.9633499731785539,2.008548118451034,0.7439102964370178,0.7439102964370178,0.7439102964370178,4.214119972948823,1.355685482621147
Predict rate0 [M/s],(undefined),11.009696079754143,7.8474833534447015,11.009696079754143,4.039545606621901,4.039545606621901,9.136645303672319,(undefined),(undefined),11.009696079754143,7.8474833534447015,7.267806300716926,4.039545606621901,4.039545606621901,9.136645303672319,(undefined),(undefined),11.009696079754143,7.8474833534447015,7.267806300716926,4.039545606621901,4.039545606621901,9.136645303672319,(undefined),(undefined),6.746507602889032,4.808769027793961,(undefined),0.4561392542119369,2.7614376917177434,(undefined),0.2618584025318627,1.585280241514032,(undefined),6.746507602889032,4.808769027793961,(undefined),0.7470218999413856,4.522433766921771,(undefined),0.3293379204822849,1.3391010200039208,0.3293379204822849,0.7985597519323363,0.9906359888195369,11.55404225349124,(undefined),0.4271410371794984,1.700342326083148,0.5273163582799086,1.0139814471083735,1.0139814471083735,17.248606792293117,(undefined),0.33504204518051767,1.3003715107208669,2.7913856600730527,0.7754638317350655,0.7754638317350655,8.131403502897028,(undefined),0.4561392542119369,(undefined),0.7320392205352327,2.969672721975795,0.7320392205352327,1.7599981929797905,1.7599981929797905,(undefined),1.605148648595108,4.06129797845471,2.421910193019768,2.421910193019768,2.421910193019768,(undefined),3.4060829849749985,9.166387323422029,5.466272564942104,5.466272564942104,(undefined),0.662353212826108,4.135199873888257,0.772693039354215,0.5724466854829933,0.8293647945283946,(undefined),0.662353212826108,4.135199873888257,0.662353212826108,0.5724466854829933,0.8293647945283946,(undefined),1.018866806213265,4.135199873888257,1.018866806213265,2.4330702645252873,0.8293647945283946,(undefined),0.8380790048541531,3.3491084493847363,0.6453654486806877,1.984872358941063,1.984872358941063,(undefined),0.8380790048541531,3.3491084493847363,0.8380790048541531,1.984872358941063,1.984872358941063,(undefined),15.459688619362629,11.019345271727362,15.459688619362629,5.6722821272535455,5.6722821272535455,5.6722821272535455,399.1861244143127,(undefined),(undefined),1.0717285950048603,8.601578819153007,1.0717285950048603,1.190737264289707,1.190737264289707,0.8932155844988258,77.64750167744695,(undefined),(undefined),0.7470218999413856,4.522433766921771,0.7470218999413856,0.6456240699422303,0.6456240699422303,0.592403424663139,77.64750167744695,(undefined),(undefined),0.6169672083768846,3.2017329848923066,0.6169672083768846,1.8975297027585907,0.6854905584157749,0.6854905584157749,241.14130955728865,(undefined),(undefined),0.6108082073839527,2.4408840241324126,0.6108082073839527,1.4565716605100245,1.4565716605100245,1.4565716605100245,231.09375499240164,(undefined),(undefined),0.5050369823931442,2.0497561558173376,0.5050369823931442,1.2060362635200859,0.4342367053887332,1.2060362635200859,241.14130955728865,(undefined),(undefined),0.4896693499713328,1.243228394899184,0.4896693499713328,0.7418833046347886,0.7418833046347886,0.9616938712063946,231.09375499240164,(undefined)
Predict rate1 [M/s],,13.624818281139405,6.13052838256818,13.624818281139405,2.2715506811415227,2.2715506811415227,6.13052838256818,,,13.624818281139405,6.13052838256818,5.677557390807236,2.2715506811415227,2.2715506811415227,6.13052838256818,,,13.624818281139405,6.13052838256818,5.677557390807236,2.2715506811415227,2.2715506811415227,6.13052838256818,,,8.349003044541782,3.756658555889598,,0.06528431933999301,0.5229405888604943,,0.0380826976580136,0.30020883650782054,,8.349003044541782,3.756658555889598,,0.1086411081545704,0.8564253600119877,,0.062363897807058165,0.25358897961327137,0.062363897807058165,0.15122267320587507,0.15122267320587507,1.4587648946789968,,0.08295817197673798,0.3100726600950401,0.0998547538268611,0.20801863538280976,0.20801863538280976,2.097079803682634,,0.06344403111995171,0.2626716354743609,0.469884923818163,0.1566389375716461,0.1566389375716461,1.0950793464200137,,0.06528431933999301,,0.14072044332097466,0.5623748081894991,0.14072044332097466,0.32945887831074877,0.32945887831074877,,0.3039615184041108,0.7691001636604302,0.4586367387088293,0.4586367387088293,0.4586367387088293,,0.6987484567873056,1.6532063640838646,0.9858547601803682,0.9858547601803682,,0.09953894237986119,0.7955252693021504,0.1339886739252229,0.07373621555938041,0.0698080793196053,,0.09953894237986119,0.7955252693021504,0.09953894237986119,0.07373621555938041,0.0698080793196053,,0.1944305891760522,0.7955252693021504,0.1944305891760522,0.4607501196317885,0.07373621555938041,,0.15870021817059565,0.6342299871630233,0.10979766519566966,0.3848237995628203,0.3848237995628203,,0.15870021817059565,0.6342299871630233,0.15870021817059565,0.3848237995628203,0.3848237995628203,,19.131814487897636,8.608417821859472,19.131814487897636,3.189685185469382,3.189685185469382,3.189685185469382,155.96593650551281,,,0.13528457471395905,1.654762845252495,0.13528457471395905,0.15560052693533985,0.15560052693533985,0.11274627288621196,6.535631837556648,,,0.1086411081545704,0.8564253600119877,0.1086411081545704,0.08149841797895556,0.08149841797895556,0.06113149768618823,8.808129161127557,,,0.10496613511622717,0.6063209281038208,0.10496613511622717,0.3678898250259092,0.12877431943575363,0.12877431943575363,31.122056369317363,,,0.11652020849889075,0.47624346099147497,0.11652020849889075,0.27900025374895343,0.27900025374895343,0.27900025374895343,29.176927846235028,,,0.09637631358388357,0.3943298448099953,0.09637631358388357,0.22838687382642608,0.08341901151332629,0.22838687382642608,31.122056369317363,,,0.09272663499932018,0.2425676271483772,0.09272663499932018,0.14210468288324887,0.14210468288324887,0.14210468288324887,29.176927846235028,
