,Ingest (Mid5a) [],RCAL (Mid5a) [],FastImg (Mid5a) [],ICAL (Mid5a) [],DPrepA (Mid5a) [],DPrepA_Image (Mid5a) [],DPrepB (Mid5a) [],DPrepC (Mid5a) [],DPrepD (Mid5a) [],PSS (Mid5a) [],PST (Mid5a) [],Pulse (Mid5a) [],Ingest (Mid2) [],RCAL (Mid2) [],FastImg (Mid2) [],ICAL (Mid2) [],DPrepA (Mid2) [],DPrepA_Image (Mid2) [],DPrepB (Mid2) [],DPrepC (Mid2) [],DPrepD (Mid2) [],PSS (Mid2) [],PST (Mid2) [],Pulse (Mid2) [],Ingest (Mid5b) [],RCAL (Mid5b) [],FastImg (Mid5b) [],ICAL (Mid5b) [],DPrepA (Mid5b) [],DPrepA_Image (Mid5b) [],DPrepB (Mid5b) [],DPrepC (Mid5b) [],DPrepD (Mid5b) [],PSS (Mid5b) [],PST (Mid5b) [],Pulse (Mid5b) [],Ingest (Mid1) [],RCAL (Mid1) [],FastImg (Mid1) [],ICAL (Mid1) [],DPrepA (Mid1) [],DPrepA_Image (Mid1) [],DPrepB (Mid1) [],DPrepC (Mid1) [],DPrepD (Mid1) [],PSS (Mid1) [],PST (Mid1) [],Pulse (Mid1) [],Ingest (Low) [],RCAL (Low) [],FastImg (Low) [],ICAL (Low) [],DPrepA (Low) [],DPrepA_Image (Low) [],DPrepB (Low) [],DPrepC (Low) [],DPrepD (Low) [],PSS (Low) [],PST (Low) [],Pulse (Low) []
Facet size [GB],(undefined),41.25193521021444,35.36688546829085,41.25193521021444,98.24134852303013,98.24134852303013,98.24134852303013,98.24134852303013,(undefined),(undefined),(undefined),(undefined),(undefined),21.08337991299519,35.42817612265994,21.08337991299519,15.745856054515531,15.745856054515531,98.41160034072209,15.745856054515531,(undefined),(undefined),(undefined),(undefined),(undefined),41.36490360459157,35.46373765825752,41.36490360459157,98.51038238404868,98.51038238404868,98.51038238404868,98.51038238404868,(undefined),(undefined),(undefined),(undefined),(undefined),14.644882158748034,40.68022821874454,14.644882158748034,18.08010143055313,18.08010143055313,18.08010143055313,10.170057054686135,(undefined),(undefined),(undefined),(undefined),(undefined),19.653907270212084,0.9705633219857813,19.653907270212084,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined),(undefined),(undefined),(undefined)
Image size [GB],98.24134852303014,716.1794307328895,35.36688546829085,716.1794307328895,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,(undefined),(undefined),(undefined),98.41160034072206,717.4205664838641,35.42817612265995,717.4205664838641,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,(undefined),(undefined),(undefined),98.51038238404865,718.1406875797147,35.463737658257536,718.1406875797147,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,(undefined),(undefined),(undefined),113.00063394095704,823.7746214295769,40.680228218744546,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,(undefined),(undefined),(undefined),2.6960092277382826,19.653907270212073,0.9705633219857817,19.653907270212073,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,2.6960092277382826,(undefined),(undefined),(undefined)
Image cube size [GB],25753380.067221213,114588.70891726232,2829.3508374632684,114588.70891726232,7859.307881842411,7859.307881842411,15718.615763684822,25753380.067221213,25753380.067221213,(undefined),(undefined),(undefined),25798010.559718244,114787.29063741826,2834.254089812796,114787.29063741826,7872.928027257764,7872.928027257764,15745.856054515529,25798010.559718244,25798010.559718244,(undefined),(undefined),(undefined),25823905.67968405,114902.51001275436,2837.099012660603,114902.51001275436,7880.830590723893,7880.830590723893,15761.661181447786,25823905.67968405,25823905.67968405,(undefined),(undefined),(undefined),29622438.183818243,131803.93942873232,3254.4182574995634,131803.93942873232,9040.050715276564,9040.050715276564,18080.101430553128,29622438.183818243,29622438.183818243,(undefined),(undefined),(undefined),706742.6429962243,3144.6251632339317,77.64506575886253,3144.6251632339317,215.68073821906262,215.68073821906262,431.36147643812524,706742.6429962243,706742.6429962243,(undefined),(undefined),(undefined)
Calibration output [GB],0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1815552,0.0,0.20601472,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.4718592,0.0,3.3193984,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
Calibration process interval [s],600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,600,600
Calibration process in [MB],0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,24.71168,0.0,1532.12416,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,18.53376,0.0,1454.90016,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
Calibration process out [MB],0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.12608,0.0,9.89728,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined),0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0,(undefined),(undefined),(undefined)
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.20110318414979542,0.019157062961990875,0.019157062961990875,0.25542750615987836,418.4924260923447,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.20145169506866906,0.027633977375674763,0.027633977375674763,0.2558701608858774,603.6734470974071,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.2016539050723839,0.019209524564889488,0.019209524564889488,0.2561269941985265,419.63846729486585,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.3084212182632336,0.04230743734749433,0.04230743734749433,0.42307437347494325,693.1650535013471,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),0.008942527807946498,0.0012266841986209188,0.0012266841986209188,0.007009623992119535,11.484567948688646,(undefined),(undefined),(undefined),(undefined)
Working (cache) memory [TeraBytes],(undefined),0.00034495279623622115,9.730454878010269e-06,0.00034495279619180095,8.139659092046068e-06,2.0453611744874282e-05,7.340976872175908e-06,0.0009231463491305593,(undefined),(undefined),(undefined),(undefined),(undefined),0.000762989718880673,0.0003473074071609143,0.0007629897424793296,6.053610625429367e-05,0.00010587062535195848,2.7874809904338755e-05,0.004645492683220321,(undefined),(undefined),(undefined),(undefined),(undefined),0.0008419779707175077,2.563965184365659e-06,0.0008419779707175077,4.9430234188367135e-06,1.2902987959629392e-05,4.576951007593516e-06,0.00024098656306696737,(undefined),(undefined),(undefined),(undefined),(undefined),0.0012827575937961668,0.003803588020723923,0.0012827575331324024,0.00011197298951809488,0.00018014968479818926,7.084402086227384e-05,0.024347703219941917,(undefined),(undefined),(undefined),(undefined),(undefined),3.524045436629466e-05,3.168395723000456e-05,3.524045436673778e-05,2.5190893016891784e-06,3.0554099059017155e-06,1.1585490969340046e-06,4.900659722712127e-05,(undefined),(undefined),(undefined),(undefined)
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,(undefined),(undefined),(undefined),1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,(undefined),(undefined),(undefined),1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,(undefined),(undefined),(undefined),1.5776005675885711,1.5776005675885711,0.00021911118994285712,1.5776005675885711,0.7888002837942856,0.7888002837942856,1.5776005675885711,1.5776005675885711,1.5776005675885711,(undefined),(undefined),(undefined),1.652488667136,1.652488667136,0.00022951231488,1.652488667136,0.826244333568,0.826244333568,1.652488667136,1.652488667136,1.652488667136,(undefined),(undefined),(undefined)
Total buffer ingest rate [TeraBytes/s],0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.4382223798857142,0.4382223798857142,0.2191111899428571,0.4382223798857142,0.2191111899428571,0.2191111899428571,0.4382223798857142,0.4382223798857142,0.4382223798857142,(undefined),(undefined),(undefined),0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.22951231488,0.22951231488,0.45902462976,0.45902462976,0.45902462976,(undefined),(undefined),(undefined)
Output size [TB],0.0,0.0,0.0,0.0,5.894480911381809,5.894480911381809,39.29653940921205,64383.45016805302,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,7.203729144940853,7.203729144940853,39.36464013628882,75846.15104557165,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,5.91062294304292,5.91062294304292,39.404152953619466,64559.76419921013,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,11.028861872637409,11.028861872637409,53.1554982058262,87089.96826042564,1561.6652083199997,0.1722864,0.77309411328,0.004045728,0.0,0.0,0.0,0.0,0.37744129188335956,0.37744129188335956,1.0784036910953132,1766.856607490561,1646.046216192,0.0574288,0.77309411328,0.003445728
Visibility I/O Rate [TeraBytes/s],0.8675917824,1.7351835648,0.6969936454642788,8.675917824,3.2293605739448177,3.2293605739448177,6.458721147889635,10.4111013888,10.4111013888,(undefined),(undefined),(undefined),0.8675917824,1.7351835648,0.700244958247364,8.675917824,3.244424785419969,3.244424785419969,6.488849570839938,10.4111013888,10.4111013888,(undefined),(undefined),(undefined),0.8675917824,1.7351835648,0.7021300577424494,8.675917824,3.2531589611240332,3.2531589611240332,6.5063179222480665,10.4111013888,10.4111013888,(undefined),(undefined),(undefined),0.8675917824,1.7351835648,0.8675917824,8.675917824,5.2055506944,5.2055506944,10.4111013888,10.4111013888,10.4111013888,(undefined),(undefined),(undefined),0.9144701201066667,1.033017514383317,0.37182327421580263,5.165087571916585,1.1478485248956367,1.1478485248956367,2.2956970497912734,10.97364144128,10.97364144128,(undefined),(undefined),(undefined)
Facet visibility rate [TeraBytes/s],0.0,0.003645046166440652,0.008608688044413585,0.03280541549796586,0.06269762965107077,0.06269762965107077,0.12539525930214154,0.9015038166263064,(undefined),(undefined),(undefined),(undefined),0.0,0.0018090792002839761,0.008648845530546755,0.01628171280255579,0.007638133519238179,0.007638133519238179,0.12598019820355177,0.3386713538283847,(undefined),(undefined),(undefined),(undefined),0.0,0.0036719078361766378,0.008672128696859918,0.03304717052558974,0.06315967183885224,0.06315967183885224,0.12631934367770448,0.9015038166263064,(undefined),(undefined),(undefined),(undefined),0.0,0.0021501053298627385,0.016699681506107768,0.019350947968764645,0.015297541543172024,0.015297541543172024,0.03059508308634405,0.2476232698416766,(undefined),(undefined),(undefined),(undefined),0.0,0.047310353073921764,0.012359662546379472,0.42579317766529584,0.035899085371312624,0.035899085371312624,0.07179817074262525,1.3102355238947663,(undefined),(undefined),(undefined),(undefined)
Image Write Rate [TeraBytes/s],0.0,0.27501290140142964,2.8293508374632688,2.475116112612866,0.7204365558355543,0.14408731116711085,0.2881746223342217,472.1453012323888,(undefined),(undefined),(undefined),(undefined),0.0,0.27548949752980384,2.8342540898127955,2.479405477768234,1.0392264995980254,0.20784529991960504,0.28867402766611816,681.0674787765619,(undefined),(undefined),(undefined),(undefined),0.0,0.27576602403061046,2.837099012660602,2.4818942162754944,0.722409470816357,0.1444818941632714,0.2889637883265428,473.4382707942077,(undefined),(undefined),(undefined),(undefined),0.0,0.3163294546289576,3.254418257499563,2.8469650916606177,1.1932866944165066,0.23865733888330132,0.47731467776660264,782.0323680528018,(undefined),(undefined),(undefined),(undefined),0.0,0.0052410419387232225,0.0776450657588625,0.047169377448509,0.019770734336747406,0.003954146867349481,0.007908293734698962,12.956948454930782,(undefined),(undefined),(undefined),(undefined)
-- Compute --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Compute Requirement [PetaFLOP/s],0.6036604152474057,0.8186834389965962,0.5506446751979256,7.376234970051832,4.539993275283159,4.3022316353557795,4.378894197780308,18.51513355792685,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,0.9540150254097857,0.5543171941272182,8.59724078894386,4.8026165970691475,4.4275767047375725,4.540754328771916,27.790028253927325,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,0.7792198313237068,0.554372111554341,7.021062765765501,4.511330733583192,4.307859717682925,4.384790164931726,17.679974560945947,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6036604152474057,1.2449291941246308,0.6913389086197453,11.223115460463788,7.969630368588912,7.218579029598956,7.489536531956762,38.59909468837884,0.12366797864959998,0.00050088,2.755e-07,4e-06,0.6323672603670755,0.4981911815514155,0.26376933840133177,4.587674489841214,1.6393477345346628,1.5563319728394904,1.65502443554344,13.984678257464072,0.5193047194555733,0.00050088,2.755e-07,4e-06
-> Identify Component [PetaFLOP/s],,,,0.0032439484106489397,2.6643446101597203e-05,2.6643446101597203e-05,0.0003552459480212961,0.5820349612380915,,,,,,,,0.00626548958397532,0.00015471753830621914,0.00015471753830621914,0.0003555060549649921,3.379856196812126,,,,,,,,0.003244213180323261,2.6674272898172246e-05,2.6674272898172246e-05,0.00035565697197562996,0.582708382884872,,,,,,,,0.013744460721857322,0.00020949963846701055,0.00020949963846701055,0.0020949963846701057,5.78532372790039,,,,,,,,0.0002980439497153589,3.6622932828249475e-05,3.6622932828249475e-05,0.00020927390187571127,0.34287436083316536,,,,
-> Degridding Kernel Update [PetaFLOP/s],,0.011340122531640285,5.856031597438159e-05,0.10206110278236133,0.003043237696825409,0.00410872804297666,0.005921487639330362,0.05472267781189553,,,,,,0.024943912202773685,9.636685398489974e-05,0.22449521294222602,0.016916193426024986,0.020383916817711116,0.012231352047368462,0.3357176666336537,,,,,,0.009017922323305765,5.7369273982947e-05,0.08116130090975188,0.0025643026975128314,0.003108302729870875,0.005065812362439304,0.025317848876473686,,,,,,0.060120806936831216,0.0005960766683728897,0.5410872518180623,0.03572002170393513,0.04344494235385189,0.06114724621861657,1.811452115938358,,,,,,0.012367171919563203,0.0011678113733376305,0.11130454727675569,0.016642669279432885,0.01708899793959376,0.03069650608649057,0.5990225655692117,,,,
-> Gridding Kernel Update [PetaFLOP/s],,0.011340122531640285,5.856031597438159e-05,0.10206110278236133,0.003043237696825409,0.00410872804297666,0.005921487639330362,0.05472267781189553,,,,,,0.024943912202773685,9.636685398489974e-05,0.22449521294222602,0.016916193426024986,0.020383916817711116,0.012231352047368462,0.3357176666336537,,,,,,0.009017922323305765,5.7369273982947e-05,0.08116130090975188,0.0025643026975128314,0.003108302729870875,0.005065812362439304,0.025317848876473686,,,,,,0.060120806936831216,0.0005960766683728897,0.5410872518180623,0.03572002170393513,0.04344494235385189,0.06114724621861657,1.811452115938358,,,,,,0.012367171919563203,0.0011678113733376305,0.11130454727675569,0.016642669279432885,0.01708899793959376,0.03069650608649057,0.5990225655692117,,,,
-> Average [PetaFLOP/s],0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00029214825325714285,,,,,,,,,,,,0.00030601641983999994,,,,,,,,,,,
-> Phase Rotation Predict [PetaFLOP/s],,0.02530476032,0.0,0.22774284288,0.0,0.0,0.0,0.0,,,,,,0.0495973302272,0.0,0.4463759720448,0.156137942798336,0.031227588559667202,0.0,0.1002068508672,,,,,,0.02530476032,0.0,0.22774284288,0.0,0.0,0.0,0.0,,,,,,0.0819874234368,0.0,0.7378868109312,0.250517127168,0.0501034254336,0.1002068508672,0.1781455126528,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
-> Solve [PetaFLOP/s],,0.00144628435712,,0.017353067600896,,,,,,,,,,0.00144628435712,,0.017353067600896,,,,,,,,,,0.00144628435712,,0.017353067600896,,,,,,,,,,0.00144628435712,,0.017353395459328,,,,,,,,,,0.0008628611945727642,,0.11024658403491382,,,,,,,,
-> Reprojection [PetaFLOP/s],,0.001718830633758935,,0.015469475703830416,0.004502728473972215,0.00011256821184930539,0.0018010913895888862,2.950908132702431,,,,,,0.001721809359561274,,0.015496284236051466,0.0064951656224876584,0.00016237914056219143,0.0018042126729132383,4.256671742353512,,,,,,0.0017235376501913155,,0.01551183885172184,0.00451505919260223,0.00011287647981505579,0.0018060236770408927,2.9589891924637985,,,,,,0.0019770590914309845,,0.017793531822878864,0.007458041840103166,0.00018645104600257915,0.0029832167360412665,4.887702300330011,,,,,,3.2756512117020146e-05,,0.0002948086090531813,0.0001235670896046713,3.0891772401167826e-06,4.942683584186852e-05,0.08098092784331737,,,,
