,max_LOW_continuum [!otf] [blcoal] [spbf],max_LOW_spectral [!otf] [blcoal] [spbf],max_MID_continuum [!otf] [blcoal] [spbf],max_MID_spectral [!otf] [blcoal] [spbf],max_Band5_MID_continuum [!otf] [blcoal] [spbf],max_Band5_MID_spectral [!otf] [blcoal] [spbf],01ICAL [!otf] [blcoal] [spbf],01DPrepA [!otf] [blcoal] [spbf],01DPrepB [!otf] [blcoal] [spbf],01DPrepC [!otf] [blcoal] [spbf],02AICAL [!otf] [blcoal] [spbf],02ADPrepA [!otf] [blcoal] [spbf],02ADPrepB [!otf] [blcoal] [spbf],02ADPrepC [!otf] [blcoal] [spbf],02BICAL [!otf] [blcoal] [spbf],02BDPrepA [!otf] [blcoal] [spbf],02BDPrepB [!otf] [blcoal] [spbf],02BDPrepC [!otf] [blcoal] [spbf],13ICAL [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepA [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepB [!otf] [blcoal] [spbf] [Bmax=40000],13DPrepC [!otf] [blcoal] [spbf] [Bmax=40000],14ICAL [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepA [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepB [!otf] [blcoal] [spbf] [Bmax=25000],14DPrepC [!otf] [blcoal] [spbf] [Bmax=25000],15ICAL [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepA [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepB [!otf] [blcoal] [spbf] [Bmax=15000],15DPrepC [!otf] [blcoal] [spbf] [Bmax=15000],22ICAL [!otf] [blcoal] [spbf],22DPrepA [!otf] [blcoal] [spbf],22DPrepB [!otf] [blcoal] [spbf],27ICAL [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepA [!otf] [blcoal] [spbf] [Bmax=50000],27DPrepB [!otf] [blcoal] [spbf] [Bmax=50000],32ICAL [!otf] [blcoal] [spbf] [Bmax=20000],32DPrepB [!otf] [blcoal] [spbf] [Bmax=20000],37aICAL [!otf] [blcoal] [spbf],37aDPrepA [!otf] [blcoal] [spbf],37aDPrepB [!otf] [blcoal] [spbf],37bICAL [!otf] [blcoal] [spbf],37bDPrepA [!otf] [blcoal] [spbf],37bDPrepB [!otf] [blcoal] [spbf],37cICAL [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepA [!otf] [blcoal] [spbf] [Bmax=95000],37cDPrepB [!otf] [blcoal] [spbf] [Bmax=95000],38aICAL [!otf] [blcoal] [spbf],38aDPrepA [!otf] [blcoal] [spbf],38aDPrepB [!otf] [blcoal] [spbf],38bICAL [!otf] [blcoal] [spbf],38bDPrepA [!otf] [blcoal] [spbf],38bDPrepB [!otf] [blcoal] [spbf]
W kernel support bw5 [uv-pixels],,,5.588777093724158,32.42799701618017,4.175884916815477,14.120833301149542,,,,,,,,,,,,,9.162016912479308,11.536032182204192,17.471054999220886,20.591758661293696,,,,,,,,,4.443015267053525,4.099610092226511,7.569277945266735,8.886177701907872,7.756505325124912,11.971336294951865,,,7.126308771989838,3.865215103653611,11.846991544725697,5.023402359948824,3.865215103653611,11.846991544725697,4.77533919670605,6.311176375952355,10.510008745167095,3.9450275733860596,4.130926083398859,7.544480482955743,3.7908512102140177,4.130926083398859,7.544480482955743
W kernel support bw6 [uv-pixels],,,7.856114963258606,45.73228689258829,5.86844413530558,19.8749394961398,,,,,,,,,,,,,10.13298432207305,12.759789802704006,19.328421404539114,22.783128869664854,,,,,,,,,6.244177810533935,5.761165406199756,10.643695224905276,11.630278662181052,10.15037246143764,15.673534572497022,,,10.020077641204944,5.431511520101373,16.669485792772306,7.060635275455752,5.431511520101373,16.669485792772306,6.711655032417427,8.8727212656205,14.785484653093352,5.543757124337943,5.80521027596429,10.608783092461731,5.326931348554489,5.80521027596429,10.608783092461731
W kernel support bw7 [uv-pixels],,,9.92626530664295,57.93730554900659,7.413184896212349,25.13853832025097,,,,,,,,,,,,,,,,,,,,,,,,,7.8881671564042835,7.2775752043841555,13.45214604163056,,,,,,12.663223163172756,6.860881672821758,21.078928222336817,8.92040396188807,6.860881672821758,21.078928222336817,8.479173657110064,11.211936436939023,18.693678990456007,7.002760832074558,7.333251428713969,13.407977555822912,6.728694518073797,7.333251428713969,13.407977555822912
W kernel support bw8 [uv-pixels],,,11.390405931141371,66.59995533985551,8.505395066324745,28.866532425604785,,,,,,,,,,,,,,,,,,,,,,,,,9.050620049545055,8.349735518548025,15.439206528206512,,,,,,14.53317477197663,7.871447464671382,24.200924794053048,10.235596572128628,7.871447464671382,24.200924794053048,9.729063155025813,12.866612055391114,21.460207981316273,8.034296517578126,8.413643198448778,15.38848007196494,7.719725066485735,8.413643198448778,15.38848007196494
W kernel support bw9 [uv-pixels],,,13.253971407894053,77.65996484509454,9.895197418888763,33.61742674041891,,,,,,,,,,,,,,,,,,,,,,,,,10.529881493349896,9.714004360274812,17.969186091810567,,,,,,16.913879148880472,9.157279592890538,28.178389528739764,11.909408563355996,9.157279592890538,28.178389528739764,10.134119377102484,13.402935840352834,22.357253137112515,9.346831796393909,9.788394730622965,17.91009993928874,8.980681569594092,9.788394730622965,17.91009993928874
W kernel support bw10 [uv-pixels],,,15.03708227666061,88.2763539200322,11.224632420236343,38.169059642549996,,,,,,,,,,,,,,,,,,,,,,,,,11.944966953906087,11.018994308636461,20.390774556568424,,,,,,19.192419878068616,10.387180419552553,31.98788560353861,13.510787284034537,10.387180419552553,31.98788560353861,,,,10.602295439551426,11.103420431352781,20.323677013512846,10.186769694308904,11.103420431352781,20.323677013512846
W kernel support bw11 [uv-pixels],,,16.75514868222085,98.5352175267356,12.505249645231789,42.55979965975746,,,,,,,,,,,,,,,,,,,,,,,,,13.308157430830581,12.27604595645031,22.72476241782454,,,,,,21.388387029553197,11.571847946345425,35.661715995585475,15.053600402231524,11.571847946345425,35.661715995585475,,,,11.811604318959352,12.370146702105782,22.64993463373504,11.348483452539655,12.370146702105782,22.64993463373504
AW kernel support bw0 [uv-pixels],10.04380737440852,10.23314560796867,10.083338462800263,12.46747424816693,10.046674551027726,10.51746729738966,10.036220877149471,10.023040334931904,10.110594057096847,10.106683802100818,10.02197767538351,10.023040334931904,10.110594057096847,10.106683802100818,10.02197767538351,10.023040334931904,10.110594057096847,10.106683802100818,10.22179026860007,10.348826391448657,10.780490119527089,11.067517420748546,10.363086132534095,10.24697300284581,10.584380791274077,13.305337506345792,10.685375025026868,10.314008671513221,10.634420845017965,14.316625326875732,10.05280706149834,10.044992242254473,10.15209224110804,10.208814076047096,10.159625687861553,10.375052522346742,11.141264111760835,10.609638917997426,10.134974940452228,10.04001385915136,10.367469807305909,10.067418092342953,10.04001385915136,10.367469807305909,10.060957892792889,10.106087845255681,10.290577293282428,10.041676568380497,10.04567924626592,10.151107747860994,10.038494841040034,10.04567924626592,10.151107747860994
AW kernel support bw1 [uv-pixels],10.123606235180867,10.647938620760545,10.152734495169893,14.219092063390452,10.085653848976692,10.933542999000236,10.102260376250715,10.06511281429684,10.310384512588874,10.299505001344844,10.062114474504959,10.06511281429684,10.310384512588874,10.299505001344844,10.062114474504959,10.06511281429684,10.310384512588874,10.299505001344844,10.404392096253625,10.633069956026617,11.395699029975937,11.89194141485067,10.65861084195683,10.44988943748731,11.051838552320937,15.55755804265581,11.229438404377305,10.570600155322365,11.139974541654531,17.135322886122324,10.096886752151685,10.082571476268912,10.278029910183045,10.380915498497162,10.291719495740969,10.680024568044942,12.01819834026567,11.096360633283597,10.24689613765284,10.073447704658854,10.666457440004686,10.123629059664147,10.073447704658854,10.666457440004686,10.111808674701935,10.194264185152303,10.528473164983039,10.076495286458005,10.083830270334932,10.276240345893294,10.070663169597282,10.083830270334932,10.276240345893294
AW kernel support bw2 [uv-pixels],10.346538660426187,11.746700260395855,10.234406762835278,16.05482157238679,10.131666666390402,11.407719759717478,10.28718934925449,10.183411700310026,10.857423464075746,10.828062550039785,10.175007801470096,10.183411700310026,10.857423464075746,10.828062550039785,10.175007801470096,10.183411700310026,10.857423464075746,10.828062550039785,10.616933736361975,10.960794175542777,12.085566120074235,12.80232331071454,10.99899282209937,10.685620470156964,11.58227110969367,17.870566680087425,11.842949492482308,10.867193663638652,11.711837530415638,19.977865788396716,10.14889422091974,10.126937684293614,10.425422204589202,10.581436661244211,10.446223734922077,11.030988031451182,12.983072425160882,11.647772360328057,10.37806424303449,10.11293583474909,11.010720034490973,10.189870244287807,10.11293583474909,11.010720034490973,10.171764972445283,10.297846261764047,10.803933710572156,10.117613512242718,10.128869013978928,10.422701951186538,10.108661299941993,10.128869013978928,10.422701951186538
AW kernel support bw3 [uv-pixels],10.954658564810858,14.422760967227362,10.427196586354611,19.777895961367886,10.240874287213579,12.470500331629918,10.794768764007536,10.511739217024212,12.279870418520028,12.205914194004908,10.48861991855517,10.511739217024212,12.279870418520028,12.205914194004908,10.48861991855517,10.511739217024212,12.279870418520028,12.205914194004908,11.109205882155676,11.70835035131057,13.597151764102817,14.75795654341588,11.774183347089432,11.22986867117228,12.76372491683871,22.47371676475601,13.197504638211631,11.546445657114049,12.979922924660526,25.546997185348328,10.272216223039907,10.232263813574903,10.769967778092497,11.046644340500707,10.80702251532118,11.829220200974463,15.046570820908801,12.873172483641477,10.68541121997962,10.206751477852396,11.794367042368242,10.34660201101823,10.206751477852396,11.794367042368242,10.313762539054608,10.541549458911652,11.436534022767537,10.215277515125056,10.235780724449477,10.765118212672368,10.198957628371057,10.235780724449477,10.765118212672368
AW kernel support bw4 [uv-pixels],12.523105546952452,20.19477090348624,10.90046167756402,27.03852874200482,10.51240233131899,14.830953347962193,12.215386021003106,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,11.331996128555707,11.791015130343055,16.800735011292883,16.800735011292883,12.269573900843291,13.419933486725068,16.838537238943864,18.837361037835326,13.543913680362772,12.504700794647775,15.361323896682295,31.283783923236655,,,,,10.578164399615133,10.494300176072072,11.597745392654506,12.146907602857361,11.671956694252264,13.647230867648473,17.180908311461028,14.192382128746729,11.427584656192163,10.440573586616296,13.581837851816102,10.733444923361931,10.440573586616296,13.581837851816102,10.665028903770454,11.135352115558343,12.903205560352603,10.458543817628893,10.501695785825115,11.588017040238256,10.424133160912486,10.501695785825115,11.588017040238256
AW kernel support bw5 [uv-pixels],,,11.455759660683173,33.9348639378647,10.836882154867562,17.3031191731102,,,,,,,,,,,,,13.56254230977942,15.266959045888962,20.13051819466655,22.891494594389506,,,,,,,,,10.942594969351225,10.807719597967253,12.541689224849314,13.37774847087075,12.655566951294245,15.598490077146309,,,12.27942493416281,10.721002182515962,15.503264451746999,11.190825316746723,10.721002182515962,15.503264451746999,11.081690504773952,11.825013625716425,14.507249354150112,10.750034537375974,10.81963725392423,12.52673883170317,10.694416903131328,10.81963725392423,12.52673883170317
AW kernel support bw6 [uv-pixels],,,12.716860552665338,46.812840807047834,11.594767637568355,22.24889255615249,,,,,,,,,,,,,14.236480297860783,16.211484688614707,21.762074211605974,24.881136651924805,,,,,,,,,11.789391694636512,11.540841686705212,14.604391395764198,15.338297876882686,14.248861747729592,18.591925290169907,,,14.15633977890384,11.379864559518884,19.438923750954878,12.241428449858708,11.379864559518884,19.438923750954878,12.043517479298735,13.368813808913425,17.849665442995256,11.433863872446956,11.56289178139108,14.578966997112722,11.330322042740557,11.56289178139108,14.578966997112722
AW kernel support bw7 [uv-pixels],,,14.090093787404804,58.79397396229438,12.448104687277935,27.054502562027018,,,,,,,,,,,,,,,,,,,,,,,,,12.736686424944882,12.367825227398189,16.761868425845513,,,,,,16.135588643750033,12.127312040533198,23.330692552996098,13.400507708414201,12.127312040533198,23.330692552996098,13.110926203263798,15.023565444526174,21.200321558840006,12.208139058482155,12.400668389918966,16.726442004725662,12.053021609437046,12.400668389918966,16.726442004725662
AW kernel support bw8 [uv-pixels],,,15.157220961514698,67.34652219135556,13.127899498177968,30.5495776448463,,,,,,,,,,,,,,,,,,,,,,,,,13.487539556243272,13.02758930998757,18.394811720173017,,,,,,17.641234904416926,12.726338247472505,26.185583073275485,14.309697312919353,12.726338247472505,26.185583073275485,13.951869762669117,16.295695928187172,23.67573708675932,12.827701295725902,13.068641546496078,18.352256507723027,12.633058026547973,13.068641546496078,18.352256507723027
AW kernel support bw9 [uv-pixels],,,16.603245408090345,78.30115030918331,14.068224193507254,35.07322883122443,,,,,,,,,,,,,,,,,,,,,,,,,14.521652945308693,13.941372985163193,20.564329524740607,,,,,,19.64890093269681,13.559342518808554,29.90019458855395,15.551013225154723,13.559342518808554,29.90019458855395,14.237288209113562,16.72240081868075,24.49176938967308,13.688070157260306,13.993308093602721,20.51271995214946,13.44070836877458,13.993308093602721,20.51271995214946
AW kernel support bw10 [uv-pixels],,,18.058622411331953,88.84095148868444,15.033042704968969,39.457282141533,,,,,,,,,,,,,,,,,,,,,,,,,15.578261633760954,14.880128882968814,22.71087156004362,,,,,,21.641371970743524,14.418512997821098,33.5145464744053,16.808967042457706,14.418512997821098,33.5145464744053,,,,14.574246758839132,14.942755611846911,22.650647835097132,14.274812671446526,14.942755611846911,22.650647835097132
AW kernel support bw11 [uv-pixels],,,19.51243212322152,99.0413504201205,16.011910213636902,43.718835152353854,,,,,,,,,,,,,,,,,,,,,,,,,16.64653279826677,15.833549959654656,24.827702812515106,,,,,,23.610656486551992,15.29404017561543,37.037251352520705,18.072379065028077,15.29404017561543,37.037251352520705,,,,15.47623974315658,15.90661904464989,24.75923138775657,15.125742185842201,15.90661904464989,24.75923138775657
-- I/O --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Visibility Buffer [PetaBytes],0.3753318499222433,3.304977334272,1.5776005675885707,3.1552011351771414,0.7472818416771754,3.1552011351771414,17.319967902571157,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,11.546785087057472,3.207533513143087,6.415067026286174,12.468253262563763,1.0747039614579226,0.19902283651273447,0.19902283651273447,0.66096286135014,0.3311909473579552,0.09199932077882396,0.0037014286339837614,0.3130520815609235,0.0626575246451241,0.017405458598998662,0.017405458598998662,0.060846344365063275,9.311071338574893,1.7242807601715338,3.4485615203430675,0.02948026197356476,0.01474013098678238,0.02948026197356476,0.21415239216295898,0.10707619608147949,18.831412190864103,5.230964861985152,10.461929723970304,18.931206811062847,5.230964861985152,10.461929723970304,11.773821003175055,3.270522647192774,6.541045294385548,15.728167592428676,4.368949949351946,8.737899898703892,18.931206811062847,4.368949949351946,8.737899898703892
Total buffer ingest rate [TeraBytes/s],0.22951231488,0.45902462976,0.21911118994285705,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.45902462976,0.22951231488,0.45902462976,0.45902462976,0.11718355056481629,0.058591775282408144,0.0936553801197049,0.17067605927255525,0.11230408655405545,0.056152043277027726,8.568121837925374e-05,0.007246575962058415,0.0603171441186228,0.0301585720593114,0.0301585720593114,0.0019206548095032597,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.24400634366067123,0.12200317183033561,0.24400634366067123,0.0882049461869223,0.04410247309346115,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4326091720769555,0.21630458603847774,0.4326091720769555,0.4382223798857141,0.21911118994285705,0.4382223798857141,0.4382223798857141,0.21911118994285705,0.4382223798857141
Cleaning memory [PetaBytes],0.0020822188206076676,13.537727443188897,0.04230743734749433,481.36462048704647,0.019397284682796327,441.3959892262987,0.01082662947439013,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004811835321951169,0.001485134358626904,0.10313433046020168,0.30940299138060506,0.004577771617304449,0.00043607792422119794,0.218038962110599,1.3954493575078335,0.0008587339573112956,0.00018405648947858704,0.007362259579143483,8.953243699941728,0.00028490731742091257,6.106552585324769e-05,0.018319657755974307,2.8185801482119834,0.06410414641970531,0.006106552585324772,3.053276292662386,0.0014135538391955478,0.0014135538391955478,0.353388459798887,0.0005223140413270903,0.0914049572322408,0.06726978327993767,0.020762278790104217,5.0463872059281085,0.15135701237985974,0.020762278790104217,5.0463872059281085,0.02698265751561944,0.005783319940762054,2.024161979266719,0.06218215261170708,0.013327793340986605,6.663896670493303,0.13990984337634096,0.013327793340986605,6.663896670493303
Working (cache) memory [TeraBytes],9.82637899641885e-05,0.00030970755386453664,0.003853317561284125,0.031349049238847924,0.00028836300788875674,0.001263044535256121,0.0007071065577127979,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.00019852335881719184,7.989415548726815e-05,0.0002015783009176349,0.0002015783009176349,0.00021307969399286784,1.7018469631865086e-05,5.915331674220563e-05,9.687908842745265e-05,0.00015608912292752668,3.4668383244819504e-06,1.2988407101301718e-05,0.00021336955426601816,8.373144889229939e-05,1.5756341900114624e-06,4.642162533285573e-06,0.00010643001007185577,0.0004827071609762679,1.515533219913098e-05,9.613643162749167e-05,2.5774503078421966e-05,1.7134280621255602e-05,6.30842258475493e-05,8.935419685829364e-05,3.3470267018542175e-05,0.00785507112722789,0.00022849179210486672,0.000743064734502921,0.002738654016657786,0.00022849179210486672,0.000743064734502921,0.00027283367287600247,3.944752455674667e-05,0.00018309448856858952,0.00024299040148440166,3.1013050736689436e-05,0.00019037977021966494,0.0005986506166284403,3.1013050736689436e-05,0.00019037977021966494
Visibility I/O Rate [TeraBytes/s],1.2511061664074776,11.01659111424,5.258668558628569,10.517337117257139,2.490939472257251,10.517337117257139,8.018503658597757,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,5.345733836600681,1.7819630628572705,3.563926125714541,6.92680736809098,0.49754813030459377,0.11056824250707471,0.11056824250707471,0.36720158963896665,0.1533291422953496,0.05111073376601331,0.0020563492411020895,0.17391782308940196,0.03955651808404299,0.013185953484089893,0.013185953484089893,0.046095715428078235,4.310681175266154,0.957933755650852,1.915867511301704,0.6657692405954102,0.39946154435724607,0.7989230887144921,0.27039443454919054,0.16223666072951434,8.71824638465931,2.906091589991751,5.812183179983502,8.764447597714284,2.906091589991751,5.812183179983502,5.450843057025488,1.816957026218208,3.633914052436416,7.281559070568832,2.427194416306637,4.854388832613274,8.764447597714284,2.427194416306637,4.854388832613274
Inter-Facet I/O Rate [TeraBytes/s],0.020974731709417892,1.9091666907061264,0.7458041840103166,67.88475417125014,0.6838786266370499,62.24815232678571,0.0016656353037523273,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0007402823572232566,0.00027925603324608446,0.002424097510816706,0.007272292532450117,0.0035213627825418834,0.00040998779200283566,0.005124847400035446,0.03279902336022685,0.008257057281839382,0.00017304456275764592,0.00017304456275764592,0.210439488673844,0.003735672868281195,7.828913570929189e-05,0.0005871685178196893,0.09033910731448663,0.04931088186131177,0.005741203285348075,0.07176504106685094,0.02652070992862191,0.03241420102387122,0.40517751279839026,0.0034242616345744542,0.005859292130271844,0.32341241961508493,0.009760045585091725,0.11861166509660082,0.05821423553071528,0.009760045585091725,0.11861166509660082,0.010377945198315168,0.0027186546730078027,0.047576456777636555,0.02391621254296426,0.006265201997899685,0.15663004994749213,0.0538114782216696,0.006265201997899685,0.15663004994749213
