Frequency Max [GHz],0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
AW kernel support bw9 [uv-pixels],,,,,,,,,,,12.580411960013409,9.471773258420326,12.580411960013409,10.742524217428974,12.077633033516388,10.665367250465836,19.17016335795975,,,12.209327941170137,10.108497222930314,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,27.95410505886588,,,12.454412495379259,17.59492234360183,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,23.594336873849375,,,11.953694964207486,31.735412541367545,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,29.79310729463404,
AW kernel support bw10 [uv-pixels],,,,,,,,,,,13.431749838076566,9.76756971802889,13.431749838076566,10.742524217428974,12.077633033516388,10.665367250465836,21.21048803138621,,,12.209327941170137,10.771794827614748,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,31.361008563434726,,,12.454412495379259,21.445374820275426,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,26.338708939246857,,,11.953694964207486,40.24747556765276,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,33.473683904931534,
AW kernel support bw11 [uv-pixels],,,,,,,,,,,14.29603656872341,10.156848661792084,14.29603656872341,10.742524217428974,12.077633033516388,10.665367250465836,23.219150874441496,,,12.209327941170137,11.615496613409126,12.209328003882671,11.350257518234203,13.035056971456319,11.20986967369418,34.678582120782444,,,12.454412495379259,25.797740120112653,12.454412420558084,11.102419374683453,11.957613723864334,13.773264365594319,29.021284282731326,,,11.953694964207486,49.60397857017745,11.953694882874856,11.558231952453218,12.382206159479336,10.945896716532982,37.05386238525481,
-- Data --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot vis size0 [GB],2.0663774184488966,2076.1197844018243,1.2454597362336308,2076.1197844018243,76.89648991773515,384.4824495886758,768.9648991773516,2.0663774184488966,2.0663774184488966,2.442049601295063,4001.054066761831,2.6983315386288313,4001.054066761831,250.0420350382979,1250.2101751914895,2500.420350382979,2.442049601295063,2.442049601295063,2.442049601295063,4001.054066761831,2.6785919717312803,4001.054066761831,248.21286000196199,1241.06430000981,2482.12860001962,2.442049601295063,2.442049601295063,2.442049601295063,4001.054066761831,2.691086978500759,4001.054066761831,249.37071491729412,1246.8535745864706,2493.707149172941,2.442049601295063,2.442049601295063,2.442049601295063,4001.054066761831,3.334211722301526,4001.054066761831,400.1054066761831,2000.5270333809156,4001.054066761831,2.442049601295063,2.442049601295063
Snapshot vis size1 [GB],0.5579727755026432,560.6034541590128,0.3363047909828169,560.6034541590128,20.763945406457612,103.81972703228809,207.63945406457617,0.5579727755026432,0.5579727755026432,0.20103492256172145,329.37561712512445,0.22213261828360167,329.37561712512445,20.584013168463848,102.92006584231925,205.8401316846385,0.20103492256172145,0.20103492256172145,0.20103492256172145,329.37561712512445,0.22050761349232037,329.37561712512445,20.4334314351581,102.16715717579049,204.33431435158099,0.20103492256172145,0.20103492256172145,0.20103492256172145,329.37561712512445,0.22153623007610235,329.37561712512445,20.528748611810883,102.64374305905443,205.28748611810886,0.20103492256172145,0.20103492256172145,0.20103492256172145,329.37561712512445,0.2744796809376037,329.37561712512445,32.93756171251245,164.68780856256222,329.37561712512445,0.20103492256172145,0.20103492256172145
Snapshot vis size2 [GB],0.5714303750127616,574.1245023199464,0.3444160383215491,574.1245023199464,21.264745577717484,106.32372788858744,212.64745577717488,0.5714303750127616,0.5714303750127616,0.11276063219526221,184.7470197887176,0.12459434485149036,184.7470197887176,11.545587743736291,57.727938718681465,115.45587743736293,0.11276063219526221,0.11276063219526221,0.11276063219526221,184.7470197887176,0.12368287849902639,184.7470197887176,11.461126341566718,57.30563170783359,114.61126341566718,0.11276063219526221,0.11276063219526221,0.11276063219526221,184.7470197887176,0.1242598302783282,184.7470197887176,11.514589814288158,57.572949071440796,115.14589814288159,0.11276063219526221,0.11276063219526221,0.11276063219526221,184.7470197887176,0.15395584982393132,184.7470197887176,18.47470197887176,92.3735098943588,184.7470197887176,0.11276063219526221,0.11276063219526221
Snapshot vis size3 [GB],0.7158703456837633,719.2454652627099,0.4314737878727103,719.2454652627099,26.639817260778134,133.1990863038907,266.3981726077814,0.7158703456837633,0.7158703456837633,0.20206376030684187,331.0612648867297,0.22326942784484805,331.0612648867297,20.68935610800844,103.4467805400422,206.8935610800844,0.20206376030684187,0.20206376030684187,0.20206376030684187,331.0612648867297,0.221636106755861,331.0612648867297,20.538003741575984,102.69001870787993,205.38003741575986,0.20206376030684187,0.20206376030684187,0.20206376030684187,331.0612648867297,0.22266998749749758,331.0612648867297,20.633808723570493,103.16904361785247,206.33808723570493,0.20206376030684187,0.20206376030684187,0.20206376030684187,331.0612648867297,0.2758843874056081,331.0612648867297,33.10612648867297,165.53063244336485,331.0612648867297,0.20206376030684187,0.20206376030684187
Snapshot vis size4 [GB],0.27446108535193603,275.7550892011184,0.16542487733214264,275.7550892011184,10.213571777423944,51.067858887119726,102.13571777423945,0.27446108535193603,0.27446108535193603,0.28354772092006336,464.5645859554319,0.31330475747060327,464.5645859554319,29.032518066678527,145.16259033339264,290.3251806667853,0.28354772092006336,0.28354772092006336,0.28354772092006336,464.5645859554319,0.31101278551279316,464.5645859554319,28.82013154822212,144.10065774111058,288.20131548222116,0.28354772092006336,0.28354772092006336,0.28354772092006336,464.5645859554319,0.31246358761381826,464.5645859554319,28.954570718591306,144.77285359295655,289.5457071859131,0.28354772092006336,0.28354772092006336,0.28354772092006336,464.5645859554319,0.3871371549628599,464.5645859554319,46.45645859554319,232.28229297771594,464.5645859554319,0.28354772092006336,0.28354772092006336
Snapshot vis size5 [GB],,,,,,,,,,0.1491814932972089,244.4189586181471,0.16483740876112,244.4189586181471,15.274728307854426,76.37364153927214,152.74728307854429,0.1491814932972089,0.1491814932972089,0.1491814932972089,244.4189586181471,0.16363154543006597,244.4189586181471,15.162986489310752,75.81493244655375,151.6298648931075,0.1491814932972089,0.1491814932972089,0.1491814932972089,244.4189586181471,0.16439484842261823,244.4189586181471,15.233718273464175,76.16859136732089,152.33718273464177,0.1491814932972089,0.1491814932972089,0.1491814932972089,244.4189586181471,0.20368246551512256,244.4189586181471,24.441895861814707,122.20947930907354,244.4189586181471,0.1491814932972089,0.1491814932972089
Snapshot vis size6 [GB],,,,,,,,,,0.2277847075092197,373.2024647831056,0.25168967082548904,373.2024647831056,23.32292996260358,116.61464981301792,233.22929962603584,0.2277847075092197,0.2277847075092197,0.2277847075092197,373.2024647831056,0.24984844226496644,373.2024647831056,23.15231176532619,115.76155882663095,231.5231176532619,0.2277847075092197,0.2277847075092197,0.2277847075092197,373.2024647831056,0.2510139269712566,373.2024647831056,23.260311882558522,116.30155941279261,232.60311882558523,0.2277847075092197,0.2277847075092197,0.2277847075092197,373.2024647831056,0.3110020539859213,373.2024647831056,37.32024647831056,186.6012323915528,373.2024647831056,0.2277847075092197,0.2277847075092197
Snapshot vis size7 [GB],,,,,,,,,,0.21770209649501426,356.6831148974314,0.24054893589654697,356.6831148974314,22.290569041206034,111.45284520603018,222.90569041206035,0.21770209649501426,0.21770209649501426,0.21770209649501426,356.6831148974314,0.23878920706252924,356.6831148974314,22.12750304940329,110.63751524701645,221.2750304940329,0.21770209649501426,0.21770209649501426,0.21770209649501426,356.6831148974314,0.23990310301615453,356.6831148974314,22.230722673759484,111.15361336879742,222.30722673759485,0.21770209649501426,0.21770209649501426,0.21770209649501426,356.6831148974314,0.2972359290811928,356.6831148974314,35.66831148974314,178.3415574487157,356.6831148974314,0.21770209649501426,0.21770209649501426
Snapshot vis size8 [GB],,,,,,,,,,0.06893213805756229,112.93841499351007,0.07616625069662672,112.93841499351007,7.057977884770749,35.28988942385375,70.5797788477075,0.06893213805756229,0.06893213805756229,0.06893213805756229,112.93841499351007,0.07560905867650687,112.93841499351007,7.006345458439488,35.03172729219744,70.06345458439488,0.06893213805756229,0.06893213805756229,0.06893213805756229,112.93841499351007,0.07596175729950252,112.93841499351007,7.039028420665961,35.19514210332981,70.39028420665962,0.06893213805756229,0.06893213805756229,0.06893213805756229,112.93841499351007,0.09411534582792505,112.93841499351007,11.293841499351005,56.46920749675503,112.93841499351007,0.06893213805756229,0.06893213805756229
Snapshot vis size9 [GB],,,,,,,,,,0.060289900045386195,98.77897223436075,0.06661704932896208,98.77897223436075,6.173097095001422,30.865485475007116,61.73097095001423,0.060289900045386195,0.060289900045386195,0.060289900045386195,98.77897223436075,0.06612971421727498,98.77897223436075,6.1279379876484334,30.639689938242167,61.279379876484334,0.060289900045386195,0.060289900045386195,0.060289900045386195,98.77897223436075,0.06643819390941505,98.77897223436075,6.156523384552498,30.782616922762493,61.565233845524986,0.060289900045386195,0.060289900045386195,0.060289900045386195,98.77897223436075,0.08231581019530063,98.77897223436075,9.877897223436076,49.389486117180375,98.77897223436075,0.060289900045386195,0.060289900045386195
Snapshot vis size10 [GB],,,,,,,,,,0.004321119125233649,7.079721574782811,0.004774600815481706,7.079721574782811,0.4424404070840097,2.2122020354200487,4.424404070840097,0.004321119125233649,0.004321119125233649,0.004321119125233649,7.079721574782811,0.004739672360302253,7.079721574782811,0.43920374750562957,2.196018737528148,4.392037475056296,0.004321119125233649,0.004321119125233649,0.004321119125233649,7.079721574782811,0.004761781826339668,7.079721574782811,0.4412525302233246,2.2062626511166235,4.412525302233247,0.004321119125233649,0.004321119125233649,0.004321119125233649,7.079721574782811,0.005899767978985675,7.079721574782811,0.707972157478281,3.5398607873914054,7.079721574782811,0.004321119125233649,0.004321119125233649
Snapshot vis size11 [GB],,,,,,,,,,0.0018519081914224666,3.0341663808265693,0.002046257486707186,3.0341663808265693,0.18961731679888932,0.9480865839944467,1.8961731679888933,0.0018519081914224666,0.0018519081914224666,0.0018519081914224666,3.0341663808265693,0.002031288148814409,3.0341663808265693,0.1882301769834083,0.9411508849170415,1.882301769834083,0.0018519081914224666,0.0018519081914224666,0.0018519081914224666,3.0341663808265693,0.002040763634232889,3.0341663808265693,0.18910822671714228,0.9455411335857115,1.891082267171423,0.0018519081914224666,0.0018519081914224666,0.0018519081914224666,3.0341663808265693,0.002528471984022141,3.0341663808265693,0.30341663808265695,1.5170831904132847,3.0341663808265693,0.0018519081914224666,0.0018519081914224666
Facet size [GB],(undefined),23.167544569947953,1.1440762750591575,23.167544569947953,3.1779896529421054,3.1779896529421054,3.1779896529421054,3.1779896529421054,(undefined),(undefined),41.36490360459157,35.46373765825752,41.36490360459157,98.51038238404868,98.51038238404868,98.51038238404868,98.51038238404868,(undefined),(undefined),41.25193521021444,35.36688546829085,41.25193521021444,98.24134852303013,98.24134852303013,98.24134852303013,98.24134852303013,(undefined),(undefined),21.08337991299519,35.42817612265994,21.08337991299519,15.745856054515531,15.745856054515531,98.41160034072209,15.745856054515531,(undefined),(undefined),14.644882158748034,40.68022821874454,14.644882158748034,18.08010143055313,18.08010143055313,18.08010143055313,10.170057054686135,(undefined)
Image size [GB],3.1779896529421046,23.167544569947953,1.1440762750591578,23.167544569947953,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,3.1779896529421046,98.51038238404865,718.1406875797147,35.463737658257536,718.1406875797147,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.51038238404865,98.24134852303014,716.1794307328895,35.36688546829085,716.1794307328895,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.24134852303014,98.41160034072206,717.4205664838641,35.42817612265995,717.4205664838641,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,98.41160034072206,113.00063394095704,823.7746214295769,40.680228218744546,823.7746214295769,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704,113.00063394095704
Image cube size [GB],833090.919580855,3706.8071311916724,91.52610200473264,3706.8071311916724,254.23917223536836,254.23917223536836,508.4783444707367,833090.919580855,833090.919580855,25823905.67968405,114902.51001275436,2837.099012660603,114902.51001275436,7880.830590723893,7880.830590723893,15761.661181447786,25823905.67968405,25823905.67968405,25753380.067221213,114588.70891726232,2829.3508374632684,114588.70891726232,7859.307881842411,7859.307881842411,15718.615763684822,25753380.067221213,25753380.067221213,25798010.559718244,114787.29063741826,2834.254089812796,114787.29063741826,7872.928027257764,7872.928027257764,15745.856054515529,25798010.559718244,25798010.559718244,29622438.183818243,131803.93942873232,3254.4182574995634,131803.93942873232,9040.050715276564,9040.050715276564,18080.101430553128,29622438.183818243,29622438.183818243
Calibration output [GB],0.0,0.4718592,0.0,3.3193984,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.15608704,0.0,0.0,0.0,0.0,0.0,0.0,0.1815552,0.0,0.20601472,0.0,0.0,0.0,0.0,0.0
Calibration process interval [s],600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600,600,10,600,600,600,600,600,600,600
Calibration process in [MB],0.0,71.76192,0.0,31037.0304,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,24.711679999999998,0.0,1532.1241599999996,0.0,0.0,0.0,0.0,0.0,0.0,18.533759999999997,0.0,1454.9001599999995,0.0,0.0,0.0,0.0,0.0
Calibration process out [MB],0.0,0.1872457142857143,0.0,80.98377142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.16810666666666668,0.0,10.422613333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.12608,0.0,9.89728,0.0,0.0,0.0,0.0,0.0
Cleaning memory [PetaBytes],(undefined),(undefined),(undefined),0.010541232779326315,0.001445985292088658,0.001445985292088658,0.008262773097649473,13.537727443188897,(undefined),(undefined),(undefined),(undefined),0.2016539050723839,0.019209524564889488,0.019209524564889488,0.2561269941985265,419.63846729486585,(undefined),(undefined),(undefined),(undefined),0.20110318414979542,0.019157062961990875,0.019157062961990875,0.25542750615987836,418.4924260923447,(undefined),(undefined),(undefined),(undefined),0.20145169506866906,0.027633977375674763,0.027633977375674763,0.2558701608858774,603.6734470974071,(undefined),(undefined),(undefined),(undefined),0.3084212182632336,0.04230743734749433,0.04230743734749433,0.42307437347494325,693.1650535013471,(undefined)
Working (cache) memory [TeraBytes],(undefined),4.566600197092891e-05,4.3951985564215966e-05,4.5666001971668474e-05,2.451453281758612e-06,3.4222620722772986e-06,1.2981280623968818e-06,6.612988218275068e-05,(undefined),(undefined),0.0008419779707175077,2.563965184371042e-06,0.0008419779707175077,4.95887831522836e-06,1.284012374305031e-05,4.60605712899756e-06,0.00024098656300784155,(undefined),(undefined),0.0003450346520462549,9.73045487805994e-06,0.00034503466368990303,8.129039581734247e-06,2.060425762118268e-05,7.335107124719408e-06,0.0009231463484848864,(undefined),(undefined),0.0007683224298238844,0.0003473074071810608,0.0007683224008423274,6.0772237496209026e-05,0.00010793906062995471,2.7853024576025682e-05,0.004645492675910851,(undefined),(undefined),0.0012923327304396855,0.0038035880222522015,0.0012923326695370183,0.00011248146536731441,0.00018137245327636613,7.131033407772141e-05,0.024347703219941917,(undefined)
