Pipeline,DPrepA,DPrepC,DPrepA,DPrepC,DPrepA,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA_Image,DPrepB,DPrepC,ICAL,DPrepA,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB,ICAL,DPrepA_Image,DPrepB
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Visibilities bw3 [1/s],18502694.34056612,814501371.0890816,621939.9163912926,65686758.90609715,1555837.8622782843,65686758.90609715,14230700.600918198,13176787.30799331,43918796.07416283,7683800.487760709,10165196.303974409,13176787.30799331,43918796.07416283,7683800.487760709,10165196.303974409,13176787.30799331,43918796.07416283,7683800.487760709,245673.5849820245,595744.5937325673,595744.5937325673,2873635.1591620515,2950082.3390788636,819494.5635906133,54949.85994367155,4647440.147544678,2776774.8610592647,771352.5256007435,771352.5256007435,2696509.323934977,246737.82558179213,598325.2910600234,598325.2910600234,1296876.5905214627,1296876.5905214627,1296876.5905214627,4531107.721096022,4531107.721096022,527819.5994952194,290454.2017476618,1815139.3346248912,392103.4229052717,290454.2017476618,1815139.3346248912,527819.5994952194,1815139.3346248912,1815139.3346248912,804313.4864495109,1516023.046090397,1516023.046090397,625178.1438826927,1516023.046090397,1516023.046090397
Visibilities bw4 [1/s],28372268.931704037,624551447.5564055,2472590.3662639125,161307147.9011916,6367602.162721325,161307147.9011916,21821714.121548645,20205453.943647504,101022866.22592254,11782070.468766836,18185128.719827663,20205453.943647504,101022866.22592254,11782070.468766836,18185128.719827663,20205453.943647504,101022866.22592254,11782070.468766836,1053333.584683511,2438211.5735048177,2438211.5735048177,8097336.194221758,13798865.857877117,3833094.764727136,154217.73333570082,13043121.240024522,,,,,976519.8450413927,2448773.5479409676,2448773.5479409676,5459394.861500343,5459394.861500343,5459394.861500343,6358200.2433016645,6358200.2433016645,2139589.800675709,1132090.3420038933,7428853.120970112,1528299.1589906237,1132090.3420038933,7428853.120970112,2139589.800675709,7428853.120970112,7428853.120970112,3249037.4920084886,6204650.944006526,6204650.944006526,2474284.127693177,6204650.944006526,6204650.944006526
Visibilities bw5 [1/s],,,2601701.0260926704,113156925.2861792,6253540.054241978,113156925.2861792,,,,,,,,,,,,,1163764.894241717,2394535.4510295233,2394535.4510295233,7952334.0770669915,,,,,,,,,1038938.8076563288,2404908.193775761,2404908.193775761,6702000.472524097,6702000.472524097,6702000.472524097,,,2148997.04772652,1167380.1733090275,7295782.519740423,1558628.3450128695,1167380.1733090275,7295782.519740423,2148997.04772652,7295782.519740423,7295782.519740423,3290535.0500268927,6093507.554281698,6093507.554281698,2632441.0465286477,6093507.554281698,6093507.554281698
Visibilities bw6 [1/s],,,9710348.953550885,259168378.32160106,30009250.41978592,259168378.32160106,,,,,,,,,,,,,507696.39930947736,1566939.8485684295,1566939.8485684295,5203870.390054841,,,,,,,,,3739189.8124173456,11540578.747011721,11540578.747011721,16446153.148886474,16446153.148886474,16446153.148886474,,,8102621.311450598,4668237.333820918,35010730.818072766,6077003.45437521,4668237.333820918,35010730.818072766,8102621.311450598,35010730.818072766,35010730.818072766,12632338.080090325,29241291.634968936,29241291.634968936,9474283.349799573,29241291.634968936,29241291.634968936
Visibilities bw7 [1/s],,,18982655.23714316,495393215.1353213,58665216.05526454,495393215.1353213,,,,,,,,,,,,,,,,,,,,,,,,,7309735.630606024,22560725.281398572,22560725.281398572,,,,,,14783794.402442914,7822187.717989076,68442638.40578821,10559900.894514984,7822187.717989076,68442638.40578821,14783794.402442914,68442638.40578821,68442638.40578821,27438845.461917926,57163929.21354139,57163929.21354139,18521263.393653788,57163929.21354139,57163929.21354139
Visibilities bw8 [1/s],,,8655176.951414868,156858909.7132084,22290508.6912017,156858909.7132084,,,,,,,,,,,,,,,,,,,,,,,,,3703216.3463683575,8572200.799852682,8572200.799852682,,,,,,7021571.898381179,4160964.4218790983,26005551.376176804,4814810.302112063,4160964.4218790983,26005551.376176804,7021571.898381179,26005551.376176804,26005551.376176804,10425687.79268989,21720077.7258466,21720077.7258466,9383137.04346221,21720077.7258466,21720077.7258466
Visibilities bw9 [1/s],,,11565290.761680273,137193016.99216768,47656482.60434576,137193016.99216768,,,,,,,,,,,,,,,,,,,,,,,,,3958681.1618062654,18327123.937945276,18327123.937945276,,,,,,10007930.689177455,5559997.492158848,55599141.81844076,6433689.564506442,5559997.492158848,55599141.81844076,1620607.1462675105,6002189.549808466,6002189.549808466,16717356.321762979,46436916.91469366,46436916.91469366,10030429.562601425,46436916.91469366,46436916.91469366
Visibilities bw10 [1/s],,,979619.0849624582,9832946.63164279,4036673.733039358,9832946.63164279,,,,,,,,,,,,,,,,,,,,,,,,,502971.1237207056,1552372.5816993127,1552372.5816993127,,,,,,847706.270065889,470950.50789571204,4709445.368390764,726607.2699162776,470950.50789571204,4709445.368390764,,,,1416018.7250512568,3933372.1611527153,3933372.1611527153,1274418.5479127846,3933372.1611527153,3933372.1611527153
Visibilities bw11 [1/s],,,645900.8802550612,4214119.9733702345,1996155.046750689,4214119.9733702345,,,,,,,,,,,,,,,,,,,,,,,,,248721.5326627335,767655.8672308879,767655.8672308879,,,,,,628791.79835944,310515.94265843043,2328843.9796672305,359310.4114519165,310515.94265843043,2328843.9796672305,,,,1400455.8402069337,1945071.904603555,1945071.904603555,630205.8546826786,1945071.904603555,1945071.904603555
-- Geometry --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delta W earth0 [lambda],0.09440398684029373,0.09440398684029373,0.8580149336490602,0.8580149336490602,17.04886816211769,17.04886816211769,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,0.08631221653969713,1.4098307776762335,1.4098307776762335,1.4098307776762335,1.4098307776762335,2.179085545775391,2.179085545775391,2.179085545775391,2.203297607395118,2.3177546259610975,2.3177546259610975,2.3177546259610975,2.3206973331141834,17.82888173816229,17.82888173816229,17.82888173816229,1.961176991197852,1.961176991197852,1.961176991197852,0.8580149336490602,0.8580149336490602,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,2.058025237676758,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093,13.982465585392093
Delta W earth1 [lambda],0.37761594736117493,0.37761594736117493,1.9305336007103855,1.9305336007103855,38.3599533647648,38.3599533647648,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,0.3452488661587885,3.172119249771525,3.172119249771525,3.172119249771525,3.172119249771525,4.902942477994629,4.902942477994629,4.902942477994629,4.957419616639014,5.214947908412469,5.214947908412469,5.214947908412469,5.221568999506912,40.11498391086515,40.11498391086515,40.11498391086515,4.412648230195167,4.412648230195167,4.412648230195167,1.9305336007103855,1.9305336007103855,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,4.630556784772706,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221,31.46054756713221
Delta W earth2 [lambda],1.5104637894446997,1.5104637894446997,3.432059734596241,3.432059734596241,68.19547264847075,68.19547264847075,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,1.380995464635154,5.639323110704934,5.639323110704934,5.639323110704934,5.639323110704934,8.716342183101563,8.716342183101563,8.716342183101563,8.813190429580471,9.27101850384439,9.27101850384439,9.27101850384439,9.282789332456733,71.31552695264917,71.31552695264917,71.31552695264917,7.844707964791408,7.844707964791408,7.844707964791408,3.432059734596241,3.432059734596241,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,8.232100950707032,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837,55.92986234156837
Delta W earth3 [lambda],6.041855157778799,6.041855157778799,7.722134402841542,7.722134402841542,153.4398134590592,153.4398134590592,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,5.523981858540616,12.6884769990861,12.6884769990861,12.6884769990861,12.6884769990861,19.611769911978516,19.611769911978516,19.611769911978516,19.829678466556057,20.859791633649877,20.859791633649877,20.859791633649877,20.88627599802765,160.4599356434606,160.4599356434606,160.4599356434606,17.650592920780667,17.650592920780667,17.650592920780667,7.722134402841542,7.722134402841542,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,18.522227139090823,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884,125.84219026852884
Delta W earth4 [lambda],24.167420631115196,24.167420631115196,21.450373341226506,21.450373341226506,426.22170405294224,426.22170405294224,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,22.095927434162466,35.245769441905836,35.245769441905836,35.245769441905836,35.245769441905836,54.47713864438477,54.47713864438477,54.47713864438477,55.08244018487794,,,,,445.72204345405726,445.72204345405726,445.72204345405726,49.0294247799463,49.0294247799463,49.0294247799463,13.728238938384964,13.728238938384964,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,51.45063094191895,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023,349.5616396348023
Delta W earth5 [lambda],,,42.04273174880395,42.04273174880395,835.3945399437669,835.3945399437669,,,,,,,,,,,,,69.08170810613544,69.08170810613544,69.08170810613544,69.08170810613544,,,,,,,,,873.6152051699522,873.6152051699522,873.6152051699522,96.09767256869475,96.09767256869475,96.09767256869475,,,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,100.84323664616115,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125,685.1408136842125
Delta W earth6 [lambda],,,103.81980697153628,103.81980697153628,2062.9130476162404,2062.9130476162404,,,,,,,,,,,,,90.22916977127895,90.22916977127895,90.22916977127895,90.22916977127895,,,,,,,,,2157.294690317637,2157.294690317637,2157.294690317637,196.1176991197852,196.1176991197852,196.1176991197852,,,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,249.02105375888772,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433,1691.8783358324433
Delta W earth7 [lambda],,,193.05336007103855,193.05336007103855,3835.99533647648,3835.99533647648,,,,,,,,,,,,,,,,,,,,,,,,,4011.4983910865153,4011.4983910865153,4011.4983910865153,,,,,,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,463.0556784772706,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207,3146.0547567132207
Delta W earth8 [lambda],,,277.99683850229553,277.99683850229553,5523.833284526131,5523.833284526131,,,,,,,,,,,,,,,,,,,,,,,,,5776.557683164582,5776.557683164582,5776.557683164582,,,,,,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,666.8001770072697,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038,4530.318849667038
Delta W earth9 [lambda],,,415.2792278861451,415.2792278861451,8251.652190464962,8251.652190464962,,,,,,,,,,,,,,,,,,,,,,,,,8629.178761270548,8629.178761270548,8629.178761270548,,,,,,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,996.0842150355509,742.9471108013097,742.9471108013097,742.9471108013097,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773,6767.513343329773
Delta W earth10 [lambda],,,580.0180951467647,580.0180951467647,11525.034877591559,11525.034877591559,,,,,,,,,,,,,,,,,,,,,,,,,12052.324054997707,12052.324054997707,12052.324054997707,,,,,,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,1391.2250606694886,,,,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055,9452.146735725055
Delta W earth11 [lambda],,,772.2134402841542,772.2134402841542,15343.98134590592,15343.98134590592,,,,,,,,,,,,,,,,,,,,,,,,,16045.993564346061,16045.993564346061,16045.993564346061,,,,,,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,1852.2227139090824,,,,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883,12584.219026852883
Delta W snapshot0 [lambda],1.4176851412574085,2.3348836997166766,23.757902982980866,64.50125230383104,1271.1158215173955,8872.849711979488,1.3382299173591654,1.1543836537319785,0.6904977196035529,11.961675438362324,1.3809954216621991,1.1543836537319785,0.6904977196035529,11.961675438362324,1.3809954216621991,1.1543836537319785,0.6904977196035529,11.961675438362324,85.37638247129588,48.652498500753865,38.8608672840224,283.4576352857283,60.35609592441313,88.57651063379282,158.7868478018981,646.5065462439292,84.59641453149841,122.73150782027568,98.45619859982996,941.5917707883821,5235.383629650398,1975.4961061556594,1915.0239575615237,65.40856496971475,54.61540125632115,43.13969387175706,14.726859446718375,9.679450431835088,125.83076891305066,140.01831166972667,45.276553667083306,148.13246613143622,140.01831166972667,45.276553667083306,101.75144186882343,42.96909607100829,37.04445441960471,2131.9664384096727,1174.9552110678342,907.2853755013987,2496.228590929192,1174.9552110678342,907.2853755013987
Delta W snapshot1 [lambda],2.835370282514817,4.669767399433353,35.6368544744713,96.75187845574655,1906.673732276093,13309.274567969233,2.676459834718331,2.308767307463957,1.3809954392071058,23.923350876724648,2.7619908433243983,2.308767307463957,1.3809954392071058,23.923350876724648,2.7619908433243983,2.308767307463957,1.3809954392071058,23.923350876724648,128.0645737069438,72.9787477511308,58.29130092603359,425.1864529285925,90.53414388661969,132.86476595068922,238.18027170284714,969.7598193658937,126.89462179724761,184.09726173041352,147.68429789974493,1412.3876561825732,7853.075444475597,2963.244159233489,2872.535936342286,98.11284745457212,81.92310188448172,64.70954080763559,22.090289170077565,14.519175647752633,188.746153369576,210.02746750459,67.91483050062496,222.19869919715435,210.02746750459,67.91483050062496,152.62716280323517,64.45364410651243,55.56668162940707,3197.949657614509,1762.4328166017513,1360.928063252098,3744.3428863937875,1762.4328166017513,1360.928063252098
Delta W snapshot2 [lambda],5.670740565029634,9.339534798866707,47.51580596596173,129.00250460766208,2542.231643034791,17745.699423958977,5.352919669436662,4.617534614927914,2.7619908784142115,47.846701753449295,5.5239816866487965,4.617534614927914,2.7619908784142115,47.846701753449295,5.5239816866487965,4.617534614927914,2.7619908784142115,47.846701753449295,170.75276494259177,97.30499700150773,77.7217345680448,566.9152705714566,120.71219184882627,177.15302126758564,317.5736956037962,1293.0130924878583,169.19282906299682,245.46301564055136,196.91239719965992,1883.1835415767641,10470.767259300796,3950.992212311319,3830.0479151230475,130.8171299394295,109.2308025126423,86.27938774351412,29.45371889343675,19.358900863670176,251.66153782610132,280.03662333945334,90.55310733416661,296.26493226287243,280.03662333945334,90.55310733416661,203.50288373764687,85.93819214201658,74.08890883920942,4263.932876819345,2349.9104221356683,1814.5707510027974,4992.457181858384,2349.9104221356683,1814.5707510027974
Delta W snapshot3 [lambda],11.341481130059268,18.679069597733413,71.2737089489426,193.5037569114931,3813.347464552186,26618.549135938465,10.705839338873323,9.235069229855828,5.523981756828423,95.69340350689859,11.047963373297593,9.235069229855828,5.523981756828423,95.69340350689859,11.047963373297593,9.235069229855828,5.523981756828423,95.69340350689859,256.1291474138876,145.9574955022616,116.58260185206719,850.372905857185,181.06828777323938,265.72953190137844,476.3605434056943,1939.5196387317874,253.78924359449522,368.19452346082704,295.36859579948987,2824.7753123651464,15706.150888951193,5926.488318466978,5745.071872684572,196.22569490914424,163.84620376896345,129.41908161527118,44.18057834015513,29.038351295505265,377.492306739152,420.05493500918,135.82966100124992,444.3973983943087,420.05493500918,135.82966100124992,305.25432560647033,128.90728821302486,111.13336325881414,6395.899315229018,3524.8656332035025,2721.856126504196,7488.685772787575,3524.8656332035025,2721.856126504196
